MICROHAB	POINT	NAME	TREE	NEWX	NEWY
PRUNUS	1	Prunus_356	356	139.2373	288.1889
PRUNUS	2	Prunus_357	357	134.5255	287.2730
PRUNUS	3	Prunus_358	358	197.2195	326.4543
PRUNUS	4	Prunus_359	359	213.9672	371.8551
PRUNUS	5	Prunus_360	360	201.3857	379.3879
PRUNUS	6	Prunus_361	361	227.4245	389.7014
PRUNUS	7	Prunus_362	362	219.1763	398.6535
PRUNUS	8	Prunus_363	363	232.6630	413.9095
PRUNUS	9	Prunus_364	364	225.9691	433.5995
PRUNUS	10	Prunus_365	365	229.8735	429.3963
PRUNUS	11	Prunus_366	366	229.3336	427.0579
PRUNUS	12	Prunus_367	367	221.2438	434.1281
PRUNUS	13	Prunus_368	368	230.4584	431.9297
PRUNUS	14	Prunus_368	368	214.0591	433.7632
PRUNUS	15	Prunus_369	369	214.3413	436.4484
PRUNUS	16	Prunus_370	370	219.2616	437.0531
PRUNUS	17	Prunus_371	371	228.2779	445.4771
PRUNUS	18	Prunus_372	372	215.0835	443.5095
PRUNUS	19	Prunus_373	373	197.5776	438.7789
PRUNUS	20	Prunus_374	374	202.0829	574.4030
PRUNUS	21	Prunus_375	375	254.9366	479.6897
PRUNUS	22	Prunus_376	376	256.0769	483.4193
PRUNUS	23	Prunus_377	377	260.4746	486.1218
PRUNUS	24	Prunus_378	378	264.4299	487.1181
PRUNUS	25	Prunus_379	379	256.9832	486.3838
PRUNUS	26	Prunus_380	380	241.2110	478.5046
PRUNUS	27	Prunus_381	381	241.0986	478.0174
PRUNUS	28	Prunus_382	382	275.8574	520.3058
PRUNUS	29	Prunus_383	383	257.4075	548.6592
PRUNUS	30	Prunus_384	384	260.0692	540.9244
PRUNUS	31	Prunus_385	385	236.4179	529.9338
PRUNUS	32	Prunus_386	386	241.3630	534.5812
PRUNUS	33	Prunus_387	387	229.2243	538.0126
PRUNUS	34	Prunus_388	388	234.5567	545.8836
PRUNUS	35	Prunus_389	389	217.5368	550.7876
PRUNUS	36	Prunus_390	390	209.2344	564.4388
PRUNUS	37	Prunus_391	391	172.4649	316.2452
PRUNUS	38	Prunus_392	392	152.5618	287.8206
PRUNUS	39	Prunus_393	393	164.2595	296.9146
PRUNUS	40	Prunus_394	394	163.4780	295.0736
PRUNUS	41	Prunus_395	395	173.0240	285.5276
PRUNUS	42	Prunus_396	396	231.7181	437.3862
PRUNUS	43	Prunus_397	397	204.1921	540.1634
PRUNUS	44	Prunus_398	398	161.9864	540.0083
PRUNUS	45	Prunus_399	399	191.8998	531.9586
PRUNUS	46	Prunus_400	400	187.8895	531.0829
PRUNUS	47	Prunus_430	430	130.4451	145.1654
PRUNUS	48	Prunus_871	871	175.9738	291.0729
PRUNUS	49	Prunus_872	872	169.0223	441.1832
PRUNUS	50	Prunus_873	873	135.0554	525.1921
PRUNUS	51	Prunus_874	874	212.6313	543.6437
PRUNUS	52	Prunus_875	875	217.6085	534.7518
PRUNUS	53	Prunus_1065	1065	273.5417	296.8083
PRUNUS	54	Prunus_1066	1066	302.7235	300.2267
PRUNUS	55	Prunus_1067	1067	300.8554	289.4210
PRUNUS	56	Prunus_1068	1068	250.2867	214.1715
PRUNUS	57	Prunus_1069	1069	237.0941	132.8839
PRUNUS	58	Prunus_1070	1070	208.6942	71.9800
PRUNUS	59	Prunus_1072	1072	187.1469	131.1806
PRUNUS	60	Prunus_1073	1073	132.0909	147.4307
PRUNUS	61	Prunus_1074	1074	128.3239	142.6375
PRUNUS	62	Prunus_1075	1075	126.0317	129.6380
PRUNUS	63	Prunus_1076	1076	117.2652	128.8710
PRUNUS	64	Prunus_1077	1077	131.9379	88.5582
PRUNUS	65	Prunus_1078	1078	127.0203	70.2056
PRUNUS	66	Prunus_1079	1079	137.7229	95.4526
PRUNUS	67	Prunus_1080	1080	74.7937	84.3565
PRUNUS	68	Prunus_1081	1081	61.5423	81.2972
PRUNUS	69	Prunus_1082	1082	48.9446	75.4228
PRUNUS	70	Prunus_1083	1083	47.0333	71.8749
PRUNUS	71	Prunus_1084	1084	24.3978	104.5076
PRUNUS	72	Prunus_1085	1085	32.2706	98.1972
PRUNUS	73	Prunus_1086	1086	149.3023	134.8818
PRUNUS	74	Prunus_1087	1087	156.7386	133.9518
PRUNUS	75	Prunus_1088	1088	189.4120	196.2146
PRUNUS	76	Prunus_1089	1089	175.9779	205.6213
PRUNUS	77	Prunus_1090	1090	175.2406	206.1375
PRUNUS	78	Prunus_1091	1091	179.9053	225.1339
PRUNUS	79	Prunus_1092	1092	307.8483	350.7515
PRUNUS	80	Prunus_1093	1093	309.8989	352.8021
PRUNUS	81	Prunus_1094	1094	317.8942	360.2974
PRUNUS	82	Prunus_1095	1095	317.3942	360.2974
PRUNUS	83	Prunus_1096	1096	329.2942	360.2974
PRUNUS	84	Prunus_1097	1097	301.6614	378.9883
PRUNUS	85	Prunus_1098	1098	309.0839	377.5984
PRUNUS	86	Prunus_1099	1099	310.1715	379.0668
PRUNUS	87	Prunus_1100	1100	312.5729	376.3999
PRUNUS	88	Prunus_1101	1101	324.8254	388.8043
PRUNUS	89	Prunus_1102	1102	385.9965	450.8228
PRUNUS	90	Prunus_1103	1103	342.9061	475.6521
PRUNUS	91	Prunus_1104	1104	323.0305	469.3221
PRUNUS	92	Prunus_1105	1105	327.5737	467.4865
PRUNUS	93	Prunus_1106	1106	333.3222	465.1639
PRUNUS	94	Prunus_1107	1107	334.3332	476.7198
PRUNUS	95	Prunus_1108	1108	332.8080	494.1532
PRUNUS	96	Prunus_1109	1109	331.2305	512.1843
PRUNUS	97	Prunus_1110	1110	330.7836	473.5727
PRUNUS	98	Prunus_1111	1111	268.4743	465.7739
PRUNUS	99	Prunus_1112	1112	272.9005	488.9670
PRUNUS	100	Prunus_1113	1113	281.1761	527.6023
PRUNUS	101	Prunus_1114	1114	283.1383	538.7306
PRUNUS	102	Prunus_1115	1115	283.5551	541.0941
PRUNUS	103	Prunus_1116	1116	271.8094	544.0133
PRUNUS	104	Prunus_1117	1117	278.9357	551.6650
PRUNUS	105	Prunus_1118	1118	290.3672	558.2650
PRUNUS	106	Prunus_1119	1119	278.9357	576.3650
PRUNUS	107	Prunus_1120	1120	269.0733	575.5021
PRUNUS	108	Prunus_1121	1121	285.9631	609.4264
PRUNUS	109	Prunus_1122	1122	198.9851	532.5695
PRUNUS	110	Prunus_1123	1123	212.6340	525.0343
PRUNUS	111	Prunus_1124	1124	230.3934	534.4763
PRUNUS	112	Prunus_1125	1125	228.7545	500.1428
PRUNUS	113	Prunus_1126	1126	228.7545	499.6891
PRUNUS	114	Prunus_1127	1127	228.8493	498.7873
PRUNUS	115	Prunus_1128	1128	223.8940	500.9095
PRUNUS	116	Prunus_1129	1129	232.8568	516.9486
PRUNUS	117	Prunus_1130	1130	229.9456	509.8933
