SITE	MHAB	Punto	LABEL	OX	OY	SITE	SITE*	MICRO	MICROCAMPO	PUNTO	PMAH_sd	PMAH_pl	TBAC_sd	TBAC_pl	BVUL_sd	BVUL_pl	BVUL_pl2	CMON_sd	CMON_pl	CMON_pl2	PNIG_sd	PNIG_pl	PNIG_pl2	RSAX_sd	RSAX_pl	RSAX_pl2	HHEL_sd	HHEL_pl	HHEL_pl2	ROSA_sd	ROSA_pl	ROSA_pl2	LARB_sd	LARB_pl	LARB_pl2	JPHO_sd	JPHO_pl	JPHO_pl2	JCOM_sd	JCOM_pl	JCOM_pl2	AGRA_sd	AGRA_pl	AGRA_pl2	AITA_sd	AITA_pl	AITA_pl2
CAL	A	1	CALA1	-31.83	-3.03	CAL	CAL	A	A	1	0	0	0	0	13	4	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	2	CALA2	-78.34	19.82	CAL	CAL	A	A	2	5	1	0	0	9	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CAL	A	3	CALA3	-106.63	59.05	CAL	CAL	A	A	3	18	0	0	0	7	0	0	0	0	0	2	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	4	CALA4	-111.21	49.39	CAL	CAL	A	A	4	2	5	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	5	CALA5	-112.48	61.24	CAL	CAL	A	A	5	17	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	6	CALA6	-110.76	69.87	CAL	CAL	A	A	6	27	2	0	0	10	1	0	0	0	0	2	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CAL	A	7	CALA7	-119.23	51.68	CAL	CAL	A	A	7	6	2	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	8	CALA8	-129.57	43.01	CAL	CAL	A	A	8	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	9	CALA9	-132.92	37.2	CAL	CAL	A	A	9	1	1	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	10	CALA10	-156.01	16.73	CAL	CAL	A	A	10	78	0	0	0	7	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
CAL	A	11	CALA11	-163.88	10.54	CAL	CAL	A	A	11	17	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	12	CALA12	-162.99	5.51	CAL	CAL	A	A	12	62	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	13	CALA13	-157.51	5.99	CAL	CAL	A	A	13	16	0	0	0	8	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	14	CALA14	-161.79	-8.23	CAL	CAL	A	A	14	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	15	CALA15	-91.5	-25.56	CAL	CAL	A	A	15	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	16	CALA16	-97.52	8.01	CAL	CAL	A	A	16	3	0	0	0	6	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
CAL	A	17	CALA17	-31.68	9.67	CAL	CAL	A	A	17	2	0	0	0	6	0	0	0	0	0	1	0	0	7	0	0	0	0	0	32	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	18	CALA18	-30	0	CAL	CAL	A	A	18	0	0	0	0	9	6	6	0	0	0	1	0	0	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL	A	19	CALA19	-11.92	2.1	CAL	CAL	A	A	19	4	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
