SITE	MHAB	Punto	LABEL	OX	OY	SITE	SITE*	MICRO	MICROCAMPO	PUNTO	PMAH_sd	PMAH_pl	TBAC_sd	TBAC_pl	BVUL_sd	BVUL_pl	BVUL_pl2	CMON_sd	CMON_pl	CMON_pl2	PNIG_sd	PNIG_pl	PNIG_pl2	RSAX_sd	RSAX_pl	RSAX_pl2	HHEL_sd	HHEL_pl	HHEL_pl2	ROSA_sd	ROSA_pl	ROSA_pl2	LARB_sd	LARB_pl	LARB_pl2	JPHO_sd	JPHO_pl	JPHO_pl2	JCOM_sd	JCOM_pl	JCOM_pl2	AGRA_sd	AGRA_pl	AGRA_pl2	AITA_sd	AITA_pl	AITA_pl2
DRCHA	A	1	DRCHAA1	-142.39	-174.11	OUT	DRCHA	A	A	1	0	0	0	0	4	0	0	2	0	0	4	0	0	2	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	2	DRCHAA2	-87.78	-139.08	OUT	DRCHA	A	A	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	3	DRCHAA3	-110.72	-192.83	OUT	DRCHA	A	A	3	68	15	0	0	10	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	4	DRCHAA4	-129.44	-146.44	OUT	DRCHA	A	A	4	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DRCHA	A	5	DRCHAA5	-123.65	-141.93	OUT	DRCHA	A	A	5	37	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DRCHA	A	6	DRCHAA6	-127.37	-146.81	OUT	DRCHA	A	A	6	2	0	0	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	7	DRCHAA7	-113.46	-134.42	OUT	DRCHA	A	A	7	50	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	8	DRCHAA8	-103.28	-137.09	OUT	DRCHA	A	A	8	40	15	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0
DRCHA	A	9	DRCHAA9	-109.77	-127.19	OUT	DRCHA	A	A	9	28	1	0	0	3	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
DRCHA	A	10	DRCHAA10	-130.96	-140.55	OUT	DRCHA	A	A	10	5	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	1	DRCHAB1	-129.19	-174.93	OUT	DRCHA	B	B	1	4	0	0	0	18	5	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	2	DRCHAB2	-113.79	-184.51	OUT	DRCHA	B	B	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DRCHA	B	3	DRCHAB3	-116.93	-169.65	OUT	DRCHA	B	B	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	4	DRCHAB4	-98.33	-169.65	OUT	DRCHA	B	B	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	5	DRCHAB5	-105.33	-141.95	OUT	DRCHA	B	B	5	0	0	0	0	12	7	6	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	6	DRCHAB6	-138.93	-135.95	OUT	DRCHA	B	B	6	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DRCHA	B	7	DRCHAB7	-159.23	-128.56	OUT	DRCHA	B	B	7	0	0	0	0	2	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	8	DRCHAB8	-71.94	-89.94	OUT	DRCHA	B	B	8	3	0	0	0	0	0	0	0	0	0	3	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0
DRCHA	B	9	DRCHAB9	-137.82	-163.28	OUT	DRCHA	B	B	9	0	0	0	0	1	0	0	0	0	0	3	0	0	59	0	0	0	0	0	45	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	N	1	DRCHAN1	-77.82	-208.17	OUT	DRCHA	N	N	1	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	N	2	DRCHAN2	-68.86	-109.48	OUT	DRCHA	N	N	2	0	0	1	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	N	3	DRCHAN3	-92.26	-85.91	OUT	DRCHA	N	N	3	5	0	1	0	2	1	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0
DRCHA	N	4	DRCHAN4	-150.56	-104	OUT	DRCHA	N	N	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	N	5	DRCHAN5	-158.41	-124.7	OUT	DRCHA	N	N	5	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	N	6	DRCHAN6	-173.3	-138.96	OUT	DRCHA	N	N	6	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	N	7	DRCHAN7	-160.59	-125.85	OUT	DRCHA	N	N	7	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	N	8	DRCHAN8	-161.34	-137.91	OUT	DRCHA	N	N	8	2	0	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DRCHA	N	9	DRCHAN9	-95.31	-84.56	OUT	DRCHA	N	N	9	6	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	3	0	0	0	0
DRCHA	N	10	DRCHAN10	-69.15	-86.06	OUT	DRCHA	N	N	10	4	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0
DRCHA	P	1	DRCHAP1	-83.57531801	-131.8071024	OUT	DRCHA	P	P	1	17	0	3	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	P	2	DRCHAP2	-71.94	-117.94	OUT	DRCHA	P	P	2	3	4	6	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	P	3	DRCHAP3	-69.42	-103.66	OUT	DRCHA	P	P	3	18	3	5	0	1	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
DRCHA	P	4	DRCHAP4	-96.97	-103.49	OUT	DRCHA	P	P	4	3	3	2	0	0	1	1	2	0	0	17	0	0	1	0	0	0	0	0	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DRCHA	P	5	DRCHAP5	-124.53	-123.87	OUT	DRCHA	P	P	5	39	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DRCHA	P	6	DRCHAP6	-155.32	-116.42	OUT	DRCHA	P	P	6	5	0	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	P	7	DRCHAP7	-186.87	-142.96	OUT	DRCHA	P	P	7	2	5	7	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DRCHA	P	8	DRCHAP8	-172.86	-152.77	OUT	DRCHA	P	P	8	0	0	0	0	0	1	1	0	0	0	22	15	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	P	9	DRCHAP9	-148.18	-172.55	OUT	DRCHA	P	P	9	0	0	0	0	4	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DRCHA	P	10	DRCHAP10	-138.13	-198.23	OUT	DRCHA	P	P	10	5	5	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DRCHA	R	1	DRCHAR1	-100.58	-166.77	OUT	DRCHA	R	R	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
DRCHA	R	2	DRCHAR2	-112.97	-165.69	OUT	DRCHA	R	R	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
DRCHA	R	3	DRCHAR3	-115.09	-155.51	OUT	DRCHA	R	R	3	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DRCHA	R	4	DRCHAR4	-120.63	-155.06	OUT	DRCHA	R	R	4	6	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
DRCHA	R	5	DRCHAR5	-116.93	-148.65	OUT	DRCHA	R	R	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	R	6	DRCHAR6	-105.14	-121.67	OUT	DRCHA	R	R	6	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
DRCHA	R	7	DRCHAR7	-121.42	-122.95	OUT	DRCHA	R	R	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	R	8	DRCHAR8	-122.37	-127.19	OUT	DRCHA	R	R	8	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	R	9	DRCHAR9	-123.68	-132.25	OUT	DRCHA	R	R	9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	R	10	DRCHAR10	-126.49	-136.84	OUT	DRCHA	R	R	10	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	1	DRCHAS1	-137.93	-185.02	OUT	DRCHA	S	S	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	2	DRCHAS2	-130.24	-177.2	OUT	DRCHA	S	S	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	3	DRCHAS3	-121.01	-171.79	OUT	DRCHA	S	S	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	4	DRCHAS4	-114.1	-181.03	OUT	DRCHA	S	S	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	5	DRCHAS5	-103.93	-184.36	OUT	DRCHA	S	S	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	6	DRCHAS6	-89.77	-179.53	OUT	DRCHA	S	S	6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	7	DRCHAS7	-80.93	-169.65	OUT	DRCHA	S	S	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	8	DRCHAS8	-75.9	-149.55	OUT	DRCHA	S	S	8	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	9	DRCHAS9	-81.35	-140.11	OUT	DRCHA	S	S	9	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	S	10	DRCHAS10	-87.38	-125.23	OUT	DRCHA	S	S	10	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	11	ESQA11	192.98	721.84	OUT	ESQ	A	A	11	0	1	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	12	ESQA12	120.46	592.48	OUT	ESQ	A	A	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	13	ESQA13	104.04	645.26	OUT	ESQ	A	A	13	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	14	ESQA14	109.57	662.81	OUT	ESQ	A	A	14	3	1	0	0	0	2	1	0	9	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	15	ESQA15	188.35	697.43	OUT	ESQ	A	A	15	20	5	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	16	ESQA16	200.1	730.64	OUT	ESQ	A	A	16	25	1	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	17	ESQA17	206.6	731.79	OUT	ESQ	A	A	17	0	1	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	18	ESQA18	189.76	700.85	OUT	ESQ	A	A	18	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ESQ	A	19	ESQA19	194.48	705.9	OUT	ESQ	A	A	19	31	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0
ESQ	A	20	ESQA20	202.49	724.07	OUT	ESQ	A	A	20	0	3	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	10	ESQB10	125.04	696.43	OUT	ESQ	B	B	10	0	1	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	11	ESQB11	54.23	461.92	OUT	ESQ	B	B	11	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESQ	B	12	ESQB12	76.74	499	OUT	ESQ	B	B	12	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
