POB	ÁRBOL	NEWX	NEWY	UCSP	UCHGT	UCCOVA	UCCOVR	OCSP	OCHGT	OCCOVA	OCCOVR	D1	D2	NTREE	DROCK	DFOREST	Fm001	FmMg3	Fm018	Tet403	TetE02	TetMC5	Hex406	Hex402	Hex05	TetMC4	HexH03
NC	357	134.52500	287.27300	2	1.0	1.3	2.5	2	1.4	20.0	18.8	2.5	5.5	4	5.0	40.0	119	178	244	106	173	231	93	132	198	221	249
NC	359	213.96700	371.85500	1	0.8	77.5	0.0	5	1.6	35.0	2.5	5.5	8.0	3	5.5	80.0	119	194	244	122	183	235	93	142	198	222	257
NC	360	201.38600	379.38800														119	178	246	104	161	231	95	134	194	221	283
NC	362	219.17600	398.65400	2	1.3	31.3	45.0	5	1.8	18.9	65.0	3.5	6.5	5	0.5	90.0	119	178	244	104	167	231	93	142	194	222	283
NC	364	225.96900	433.59900	3	0.5	17.5	32.5	6	2.5	50.0	80.0	4.5	5.0	5	0.1	12.5	117	194	244	104	145	231	95	134	194	222	261
NC	365	229.87400	429.39600														117	176	244	104	173	231	93	142	198	222	257
NC	372	215.08300	443.51000	2	0.4	10.0	8.8	6	2.8	52.5	82.5	4.5	6.0	3	1.0	3.0	117	178	244	104	145	231	93	142	194	222	283
NC	373	197.57800	438.77900														117	194	244	104	183	231	95	132	194	221	271
NC	375	254.93700	479.69000														117	178	244	104	183	231	93	142	198	221	283
NC	377	260.47500	486.12200	3	1.9	95.0	0.0	4	2.3	47.5	0.0	0.7	1.0	5	6.0	18.0	117	178	246	104	145	231	93	142	194	222	287
NC	378	264.43000	487.11800	3	2.1	97.5	0.0	5	2.4	52.5	1.3	0.7	1.0	5	6.0	18.0	119	178	244	102	167	231	93	142	198	222	271
NC	379	256.98300	486.38400														119	186	246	104	145	231	95	134	194	221	283
NC	380	241.21100	478.50500	1	0.2	1.3	95.0	4	0.6	7.5	95.0	6.0	7.5	5	0.5	6.0	117	178	244	104	169	231	93	134	194	221	271
NC	385	236.41800	529.93400	1	0.3	0.8	2.5	7	8.6	35.0	37.5	11.0	18.0	1	1.0	1.0	119	178	244	104	169	231	95	134	198	222	271
NC	396	231.71800	437.38600														117	178	244	104	145	231	93	134	194	221	295
NC	397	204.19200	540.16300	5	0.7	35.0	0.0	5	0.8	12.5	3.8	3.5	4.5	2	4.0	9.0	119	178	244	102	183	231	93	142	194	221	287
