MHAB	POINT	NAME	OX	OY
A	1	INA1	212.6800	478.0700
A	2	INA2	198.8500	469.4500
A	4	INA4	178.4700	468.4600
A	5	INA5	187.5200	482.0400
A	6	INA6	175.0000	459.2300
A	8	INA8	175.3600	461.4600
A	10	INA10	148.7900	476.1100
A	11	INA11	130.1900	470.2800
A	12	INA12	135.0200	420.8900
A	14	INA14	99.7000	428.0200
A	16	INA16	69.5900	421.6900
A	20	INA20	252.0500	455.2800
A	22	INA22	261.4100	458.2900
A	25	INA25	241.8800	415.9200
A	26	INA26	232.8100	411.6900
A	27	INA27	222.7000	421.8000
A	30	INA30	242.2900	395.5000
A	31	INA31	228.4300	380.4200
A	32	INA32	216.2800	356.8900
A	36	INA36	135.7800	307.6400
A	37	INA37	133.1400	317.4900
A	38	INA38	111.8400	310.5100
A	39	INA39	128.9500	348.7800
A	40	INA40	240.3500	428.4800
A	42	INA42	137.5300	286.7300
A	48	INA48	125.6200	315.7300
A	49	INA49	149.1300	320.5000
A	50	INA50	214.9300	404.4800
A	51	INA51	128.5300	288.2300
A	52	INA52	125.2300	287.9800
A	56	INA56	225.7600	603.8000
A	57	INA57	227.4200	615.7700
A	60	INA60	334.9100	583.3500
A	61	INA61	322.2700	571.9100
A	62	INA62	329.1800	559.5800
A	65	INA65	329.2600	671.5300
A	68	INA68	157.5700	533.2100
A	70	INA70	76.1300	483.5800
A	72	INA72	195.8600	588.1200
A	73	INA73	256.8800	512.3800
A	74	INA74	265.8200	502.8100
A	77	INA77	276.9600	682.3500
A	78	INA78	293.6600	554.7900
A	79	INA79	139.9800	445.2600
A	80	INA80	134.9000	370.9900
B	2	INB2	262.1200	465.3400
B	4	INB4	209.8500	463.8700
B	7	INB7	136.5800	509.0600
B	8	INB8	141.9400	469.8800
B	10	INB10	111.8800	439.7000
B	11	INB11	153.1700	454.0100
B	12	INB12	133.9100	463.4700
B	14	INB14	104.2300	424.2100
B	15	INB15	101.9400	424.3100
B	16	INB16	196.5100	309.5800
B	17	INB17	209.1300	359.2300
B	19	INB19	264.0300	461.8500
B	20	INB20	279.7500	478.4800
B	22	INB22	180.2600	477.2000
B	24	INB24	173.2800	470.0700
B	25	INB25	124.3800	472.2800
B	28	INB28	110.9000	425.9000
B	29	INB29	74.7900	410.5400
B	37	INB37	212.1100	360.2000
B	40	INB40	271.6500	487.8600
B	42	INB42	228.3700	587.6500
B	44	INB44	218.6700	605.5100
B	46	INB46	224.9900	611.0700
B	47	INB47	238.1800	631.8900
B	48	INB48	243.8800	631.0900
B	50	INB50	240.7800	663.2500
B	52	INB52	251.4400	674.9500
B	54	INB54	243.9900	699.4100
B	55	INB55	253.1900	703.7000
B	56	INB56	249.7900	709.5900
B	57	INB57	256.9600	717.8000
B	60	INB60	266.0600	743.0300
B	65	INB65	287.5600	719.1200
B	69	INB69	305.8700	710.1700
B	71	INB71	247.4800	624.8600
B	72	INB72	259.2400	612.7800
B	73	INB73	259.7600	600.5800
B	75	INB75	196.3700	331.1400
B	76	INB76	192.0000	327.4200
B	80	INB80	134.5600	297.4800
N	1	INN1	197.8300	464.3900
N	2	INN2	192.2900	461.3900
N	3	INN3	168.2300	451.6200
N	5	INN5	150.2800	472.1800
N	11	INN11	92.8500	498.9200
N	13	INN13	78.7500	472.1200
N	15	INN15	61.5200	444.6500
N	16	INN16	59.8800	432.7900
N	17	INN17	95.2800	411.8100
N	22	INN22	146.1900	423.6300
N	28	INN28	237.6200	391.3800
N	29	INN29	206.4400	333.8300
N	32	INN32	142.0600	291.2600
N	33	INN33	144.6200	298.3000
N	34	INN34	147.5000	283.4700
N	36	INN36	134.1200	299.1200
N	37	INN37	137.8100	331.8200
N	38	INN38	118.2200	328.7800
N	39	INN39	106.8900	324.2000
N	40	INN40	125.9100	342.2500
N	41	INN41	211.9900	527.9200
N	42	INN42	230.2000	498.3500
