SITE	MHAB	DENOM	OX	OY	SEEDS	SEEDL
DRCHA	A	DRCHAA1	-142.39	-174.11	.	.
DRCHA	A	DRCHAA10	-130.96	-140.55	1	0
DRCHA	A	DRCHAA2	-87.78	-139.08	.	.
DRCHA	A	DRCHAA3	-110.72	-192.83	13	14
DRCHA	A	DRCHAA4	-129.44	-146.44	.	.
DRCHA	A	DRCHAA5	-123.65	-141.93	9	0
DRCHA	A	DRCHAA6	-127.37	-146.81	.	.
DRCHA	A	DRCHAA7	-113.46	-134.42	44	0
DRCHA	A	DRCHAA8	-103.28	-137.09	29	9
DRCHA	A	DRCHAA9	-109.77	-127.19	5	0
DRCHA	B	DRCHAB1	-129.19	-174.93	.	.
DRCHA	B	DRCHAB2	-113.79	-184.51	.	.
DRCHA	B	DRCHAB3	-116.93	-169.65	.	.
DRCHA	B	DRCHAB4	-98.33	-169.65	.	.
DRCHA	B	DRCHAB5	-105.33	-141.95	.	.
DRCHA	B	DRCHAB6	-138.93	-135.95	.	.
DRCHA	B	DRCHAB7	-159.23	-128.56	.	.
DRCHA	B	DRCHAB8	-71.94	-89.94	.	.
DRCHA	B	DRCHAB9	-137.82	-163.28	.	.
DRCHA	N	DRCHAN1	-77.82	-208.17	.	.
DRCHA	N	DRCHAN10	-69.15	-86.06	.	.
DRCHA	N	DRCHAN2	-68.86	-109.48	.	.
DRCHA	N	DRCHAN3	-92.26	-85.91	.	.
DRCHA	N	DRCHAN4	-150.56	-104	.	.
DRCHA	N	DRCHAN5	-158.41	-124.7	.	.
DRCHA	N	DRCHAN6	-173.3	-138.96	.	.
DRCHA	N	DRCHAN7	-160.59	-125.85	.	.
DRCHA	N	DRCHAN8	-161.34	-137.91	1	0
DRCHA	N	DRCHAN9	-95.31	-84.56	1	0
DRCHA	P	DRCHAP1	-83.575318	-131.8071	4	0
DRCHA	P	DRCHAP10	-138.13	-198.23	2	1
DRCHA	P	DRCHAP2	-71.94	-117.94	3	2
DRCHA	P	DRCHAP3	-69.42	-103.66	6	2
DRCHA	P	DRCHAP4	-96.97	-103.49	0	3
DRCHA	P	DRCHAP5	-124.53	-123.87	11	0
DRCHA	P	DRCHAP6	-155.32	-116.42	.	.
DRCHA	P	DRCHAP7	-186.87	-142.96	2	5
DRCHA	P	DRCHAP8	-172.86	-152.77	.	.
DRCHA	P	DRCHAP9	-148.18	-172.55	.	.
DRCHA	R	DRCHAR1	-100.58	-166.77	.	.
DRCHA	R	DRCHAR10	-126.49	-136.84	.	.
DRCHA	R	DRCHAR2	-112.97	-165.69	.	.
DRCHA	R	DRCHAR3	-115.09	-155.51	.	.
DRCHA	R	DRCHAR4	-120.63	-155.06	.	.
DRCHA	R	DRCHAR5	-116.93	-148.65	.	.
DRCHA	R	DRCHAR6	-105.14	-121.67	.	.
DRCHA	R	DRCHAR7	-121.42	-122.95	.	.
DRCHA	R	DRCHAR8	-122.37	-127.19	.	.
DRCHA	R	DRCHAR9	-123.68	-132.25	.	.
DRCHA	S	DRCHAS1	-137.93	-185.02	1	0
DRCHA	S	DRCHAS10	-87.38	-125.23	.	.
DRCHA	S	DRCHAS2	-130.24	-177.2	.	.
DRCHA	S	DRCHAS3	-121.01	-171.79	.	.
DRCHA	S	DRCHAS4	-114.1	-181.03	.	.
DRCHA	S	DRCHAS5	-103.93	-184.36	.	.
DRCHA	S	DRCHAS6	-89.77	-179.53	.	.
DRCHA	S	DRCHAS7	-80.93	-169.65	.	.
DRCHA	S	DRCHAS8	-75.9	-149.55	.	.
DRCHA	S	DRCHAS9	-81.35	-140.11	.	.
ESQ	A	ESQA11	192.98	721.84	.	.
ESQ	A	ESQA12	120.46	592.48	.	.
ESQ	A	ESQA13	104.04	645.26	.	.
ESQ	A	ESQA14	109.57	662.81	.	.
ESQ	A	ESQA15	188.35	697.43	.	.
ESQ	A	ESQA16	200.1	730.64	.	.
ESQ	A	ESQA17	206.6	731.79	.	.
ESQ	A	ESQA18	189.76	700.85	.	.
ESQ	A	ESQA19	194.48	705.9	.	.
ESQ	A	ESQA20	202.49	724.07	.	.
ESQ	B	ESQB10	125.04	696.43	.	.
ESQ	B	ESQB11	54.23	461.92	.	.
ESQ	B	ESQB12	76.74	499	.	.
ESQ	B	ESQB13	96.89	536.01	.	.
ESQ	B	ESQB14	111.85	568.09	.	.
ESQ	B	ESQB15	24.72	451.18	.	.
ESQ	B	ESQB16	113.73	663.93	.	.
ESQ	B	ESQB17	180.2	711.09	.	.
ESQ	B	ESQB18	202.61	716.66	.	.
ESQ	B	ESQB19	70.37	483.19	.	.
ESQ	B	ESQB20	68.41	484.77	.	.
ESQ	N	ESQN11	199.05	721.98	.	.
ESQ	N	ESQN12	190.69	715.93	.	.
ESQ	N	ESQN13	183.78	724.23	.	.
ESQ	N	ESQN14	109.15	681.02	.	.
ESQ	N	ESQN15	105.64	627.2	.	.
ESQ	N	ESQN16	72.86	520.68	.	.
ESQ	N	ESQN17	67.22	497.63	.	.
ESQ	N	ESQN18	22.95	464.65	.	.
ESQ	N	ESQN19	27.24	466.68	.	.
ESQ	N	ESQN20	40.65	479.61	.	.
ESQ	P	ESQP11	72.56	530.14	.	.
ESQ	P	ESQP12	75.83	480.04	.	.
ESQ	P	ESQP13	96.89	513.11	.	.
ESQ	P	ESQP14	112.37	560.3	.	.
ESQ	P	ESQP15	105.02	612.91	.	.
ESQ	P	ESQP16	119.46	606.75	.	.
ESQ	P	ESQP17	153.06	664.16	.	.
ESQ	P	ESQP18	172.49	712.72	.	.
ESQ	P	ESQP19	196.42	716.93	.	.
ESQ	P	ESQP20	218.78	732.59	.	.
ESQ	R	ESQR11	54.23	489.22	.	.
ESQ	R	ESQR12	50.95	486.8	.	.
ESQ	R	ESQR13	63.36	496.02	.	.
ESQ	R	ESQR14	87.65	502.75	.	.
ESQ	R	ESQR15	83	580.33	.	.
ESQ	R	ESQR16	92.74	630.44	.	.
ESQ	R	ESQR17	89.22	651.06	.	.
ESQ	R	ESQR18	114.49	693.04	.	.
ESQ	R	ESQR19	140.33	707.65	.	.
ESQ	R	ESQR20	187.63	730.9	.	.
ESQ	S	ESQS11	63.75	469.22	.	.
ESQ	S	ESQS12	83.74	489.47	.	.
ESQ	S	ESQS13	73.89	513.11	.	.
ESQ	S	ESQS14	87.19	547.57	.	.
ESQ	S	ESQS15	103.23	571.95	.	.
ESQ	S	ESQS16	142.41	671.61	.	.
ESQ	S	ESQS17	144.45	694.82	.	.
ESQ	S	ESQS18	167	692.25	.	.
ESQ	S	ESQS19	167	708.75	.	.
ESQ	S	ESQS20	203.81	731.47	.	.
ESQ	X	ESQX1	253.58	787.98	.	.
ESQ	X	ESQX10	208.53	742.84	.	.
ESQ	X	ESQX11	211.07	752.31	.	.
ESQ	X	ESQX12	253.52	814.76	.	.
ESQ	X	ESQX2	247.83	786.92	.	.
ESQ	X	ESQX3	249.31	795.29	.	.
ESQ	X	ESQX4	259.61	813.13	.	.
ESQ	X	ESQX5	265.47	819	.	.
ESQ	X	ESQX6	264.93	824.55	.	.
ESQ	X	ESQX7	173.22	725.15	.	.
ESQ	X	ESQX8	167.54	725.65	.	.
ESQ	X	ESQX9	135.27	721.55	.	.
IN	A	INA1	12.68	178.07	3	0
IN	A	INA10	-51.21	176.11	15	1
IN	A	INA11	-69.81	170.28	0	1
IN	A	INA12	-64.98	120.89	.	.
IN	A	INA13	-94.55	128.47	.	.
IN	A	INA14	-100.3	128.02	.	.
IN	A	INA15	-130.47	115.18	.	.
IN	A	INA16	-130.41	121.69	.	.
IN	A	INA17	-129.03	128.28	.	.
IN	A	INA18	-141.22	154.09	.	.
IN	A	INA19	47.21	155.73	3	1
IN	A	INA2	-1.15	169.45	4	0
IN	A	INA20	52.05	155.28	62	0
IN	A	INA21	59.99	153.22	10	4
IN	A	INA22	61.41	158.29	7	1
IN	A	INA23	61.24	148.58	3	1
IN	A	INA24	54.98	131.39	5	0
IN	A	INA25	41.88	115.92	6	1
IN	A	INA26	32.81	111.69	9	0
IN	A	INA27	22.7	121.8	34	0
IN	A	INA28	40.8	107.14	2	2
IN	A	INA29	39.38	97.94	36	0
IN	A	INA3	-19.34	166.82	4	1
IN	A	INA30	42.29	95.5	39	1
IN	A	INA31	28.43	80.42	19	0
IN	A	INA32	16.28	56.89	4	5
IN	A	INA33	-5.15	15.77	1	1
IN	A	INA34	-59.99	-16.37	1	0
IN	A	INA35	-64.22	-7.06	3	0
IN	A	INA36	-64.22	7.64	10	1
IN	A	INA37	-66.86	17.49	16	0
IN	A	INA38	-88.16	10.51	5	0
IN	A	INA39	-71.05	48.78	14	0
IN	A	INA4	-21.53	168.46	2	0
IN	A	INA40	40.35	128.48	36	0
IN	A	INA41	-56.02	-19.67	.	.
IN	A	INA42	-62.47	-13.27	3	0
IN	A	INA43	-59.19	-1.65	.	.
