index	lat	minLat	lon	minLon	name
3	37.940085	56.405084	-2.854277	51.256630	5
4	37.940404	56.424235	-2.854435	51.266090	6
5	37.940259	56.415559	-2.854581	51.274886	7
6	37.940174	56.410455	-2.854778	51.286689	8
7	37.940995	56.459670	-2.855770	51.346214	10
8	37.941014	56.460827	-2.855837	51.350192	11
9	37.940896	56.453736	-2.855857	51.351449	12
10	37.940690	56.441389	-2.855806	51.348356	13
11	37.940644	56.438653	-2.855811	51.348643	14
12	37.940553	56.433192	-2.855781	51.346863	15
13	37.940568	56.434077	-2.855792	51.347507	16
14	37.940537	56.432236	-2.856026	51.361588	17
15	37.940315	56.418884	-2.855823	51.349402	18
16	37.940220	56.413226	-2.855717	51.343046	19
17	37.940265	56.415876	-2.856213	51.372753	20
18	37.940219	56.413145	-2.856244	51.374614	21
19	37.940404	56.424225	-2.856396	51.383731	22
20	37.940317	56.419030	-2.856433	51.386005	23
21	37.940217	56.413005	-2.856363	51.381805	24
22	37.940137	56.408222	-2.856371	51.382288	25
23	37.940092	56.405516	-2.856378	51.382670	26
24	37.940139	56.408333	-2.856413	51.384808	27
25	37.940040	56.402403	-2.856435	51.386100	28
26	37.939967	56.398003	-2.856519	51.391144	29
27	37.939974	56.398465	-2.856556	51.393357	30
28	37.940196	56.411752	-2.856284	51.377048	31
29	37.939199	56.351966	-2.855243	51.314561	32
30	37.939834	56.390021	-2.855034	51.302038	032 780
31	37.938955	56.337316	-2.855068	51.304095	33
32	37.938612	56.316697	-2.855261	51.315667	34
33	37.938245	56.294689	-2.855185	51.311091	35
34	37.938331	56.299854	-2.854958	51.297492	36
35	37.938324	56.299432	-2.854890	51.293378	37
36	37.938074	56.284430	-2.854906	51.294354	38
37	37.938326	56.299582	-2.854626	51.277581	39
38	37.938401	56.304033	-2.854611	51.276666	40
39	37.938293	56.297561	-2.854597	51.275841	41
40	37.938253	56.295197	-2.854530	51.271778	42
41	37.938435	56.306100	-2.854466	51.267971	43
42	37.938454	56.307262	-2.854308	51.258501	44
43	37.938424	56.305426	-2.854139	51.248367	45
54	37.940053	56.403168	-2.854352	51.261126	Pino Base CAL
