TREE	NEWX	NEWY
356	139.237	288.189
357	134.525	287.273
358	197.220	326.454
359	213.967	371.855
360	201.386	379.388
361	227.424	389.701
362	219.176	398.654
363	232.663	413.910
364	225.969	433.599
365	229.874	429.396
366	229.334	427.058
367	221.244	434.128
368	230.458	431.930
368	214.059	433.763
369	214.341	436.448
370	219.262	437.053
371	228.278	445.477
372	215.083	443.510
373	197.578	438.779
374	202.083	574.403
375	254.937	479.690
376	256.077	483.419
377	260.475	486.122
378	264.430	487.118
379	256.983	486.384
380	241.211	478.505
381	241.099	478.017
382	275.857	520.306
383	257.408	548.659
384	260.069	540.924
385	236.418	529.934
386	241.363	534.581
387	229.224	538.013
388	234.557	545.884
389	217.537	550.788
390	209.234	564.439
391	172.465	316.245
392	152.562	287.821
393	164.260	296.915
394	163.478	295.074
395	173.024	285.528
396	231.718	437.386
397	204.192	540.163
398	161.986	540.008
399	191.900	531.959
400	187.889	531.083
430	130.445	145.165
871	175.974	291.073
872	169.022	441.183
873	135.055	525.192
874	212.631	543.644
875	217.609	534.752
1065	273.542	296.808
1066	302.724	300.227
1067	300.855	289.421
1068	250.287	214.172
1069	237.094	132.884
1070	208.694	71.980
1072	187.147	131.181
1073	132.091	147.431
1074	128.324	142.637
1075	126.032	129.638
1076	117.265	128.871
1077	131.938	88.558
1078	127.020	70.206
1079	137.723	95.453
1080	74.794	84.357
1081	61.542	81.297
1082	48.945	75.423
1083	47.033	71.875
1084	24.398	104.508
1085	32.271	98.197
1086	149.302	134.882
1087	156.739	133.952
1088	189.412	196.215
1089	175.978	205.621
1090	175.241	206.137
1091	179.905	225.134
1092	307.848	350.752
1093	309.899	352.802
1094	317.894	360.297
1095	317.394	360.297
1096	329.294	360.297
1097	301.661	378.988
1098	309.084	377.598
1099	310.171	379.067
1100	312.573	376.400
1101	324.825	388.804
1102	385.997	450.823
1103	342.906	475.652
1104	323.030	469.322
1105	327.574	467.486
1106	333.322	465.164
1107	334.333	476.720
1108	332.808	494.153
1109	331.230	512.184
1110	330.784	473.573
1111	268.474	465.774
1112	272.900	488.967
1113	281.176	527.602
1114	283.138	538.731
1115	283.555	541.094
1116	271.809	544.013
1117	278.936	551.665
1118	290.367	558.265
1119	278.936	576.365
1120	269.073	575.502
1121	285.963	609.426
1122	198.985	532.570
1123	212.634	525.034
1124	230.393	534.476
1125	228.755	500.143
1126	228.755	499.689
1127	228.849	498.787
1128	223.894	500.910
1129	232.857	516.949
1130	229.946	509.893
1131	229.946	509.893
1132	234.379	509.878
1133	221.289	504.185
1134	130.177	303.501
1135	137.351	288.775
1136	128.236	310.745
1137	121.867	325.749
1138	114.737	326.751
1139	174.302	309.870
1140	174.302	309.870
1141	185.750	309.356
1142	188.497	307.036
1143	188.497	307.036
1144	192.393	313.521
1145	193.700	311.508
1146	194.223	319.122
1147	197.430	323.126
1148	195.736	331.019
1149	196.217	333.584
1150	196.993	342.450
1151	201.871	339.234
1152	209.271	383.065
1153	199.550	376.767
1154	197.255	374.982
1155	194.431	377.524
1156	191.391	373.183
1157	189.821	370.146
1158	181.791	366.918
1159	179.417	364.926
1160	176.983	365.307
1161	170.233	366.241
1162	188.753	377.028
1163	184.396	369.104
1164	217.978	383.829
1165	206.084	399.111
1166	228.218	420.910
1167	226.624	421.049
1168	236.974	451.769
1169	229.234	475.295
1170	222.929	477.843
1171	220.471	476.122
1172	218.669	474.860
1173	225.093	461.084
1174	226.768	465.208
1175	220.849	471.747
1176	217.560	465.828
1177	205.747	465.892
1178	211.297	475.505
1179	195.188	464.968
1180	193.247	465.892
1181	189.175	471.708
1182	188.601	472.527
1183	188.028	473.346
1184	188.315	472.937
1185	191.597	463.034
1186	209.452	538.555
1187	213.641	528.903
1188	219.172	517.710
1189	212.096	519.740
1190	217.179	515.336
1191	178.811	480.098
1192	169.338	476.970
1193	170.022	442.915
1194	159.348	536.240
1195	140.929	534.366
1196	136.116	526.253
1197	197.481	548.753
1198	233.477	591.651
1199	225.443	601.227
1200	222.568	514.606
1820	206.376	208.823
1821	187.878	213.748
1822	307.635	263.986
1823	142.746	142.695
1824	131.668	146.524
1825	244.839	176.806
1826	269.971	252.804
1827	281.693	271.871
1828	295.269	295.007
1829	286.747	296.971
1830	304.222	378.537
1831	309.275	376.515
1832	305.042	382.068
1833	311.483	380.997
1834	330.242	387.849
1835	346.263	427.144
1836	347.663	432.956
1837	330.584	461.258
1838	349.450	471.923
1839	333.605	464.988
1841	163.319	292.203
1842	170.250	314.510
1843	185.476	324.172
1844	225.281	401.396
1845	226.249	405.277
1846	249.649	444.192
1847	253.629	447.344
1848	255.561	471.000
1849	255.098	469.573
1850	262.184	480.594
1851	391.307	520.073
1921	187.400	300.000
1922	208.995	356.792
1923	211.061	362.732
1924	228.121	386.546
1925	229.202	389.875
1926	230.152	412.530
1927	247.001	444.656
1928	248.516	449.316
1929	262.932	482.769
1930	250.586	502.889
1931	237.801	243.957
1932	239.761	233.827
1933	246.259	236.330
1934	248.255	225.694
1935	263.812	246.456
1936	322.730	468.923
1937	311.738	453.794
1938	330.162	449.734
1939	332.671	458.112
1940	341.094	474.236
1941	276.598	279.476
