SITE	MHAB	DENOM	OX	OY	NEWX	NEWY	SEEDS	SEEDL
DRCHA	A	DRCHAA1	-142.39	-174.11	57.61	125.89	.	.
DRCHA	A	DRCHAA10	-130.96	-140.55	69.04	159.45	1	0
DRCHA	A	DRCHAA2	-87.78	-139.08	112.22	160.92	.	.
DRCHA	A	DRCHAA3	-110.72	-192.83	89.28	107.17	13	14
DRCHA	A	DRCHAA4	-129.44	-146.44	70.56	153.56	.	.
DRCHA	A	DRCHAA5	-123.65	-141.93	76.35	158.07	9	0
DRCHA	A	DRCHAA6	-127.37	-146.81	72.63	153.19	.	.
DRCHA	A	DRCHAA7	-113.46	-134.42	86.54	165.58	44	0
DRCHA	A	DRCHAA8	-103.28	-137.09	96.72	162.91	29	9
DRCHA	A	DRCHAA9	-109.77	-127.19	90.23	172.81	5	0
DRCHA	B	DRCHAB1	-129.19	-174.93	70.81	125.07	.	.
DRCHA	B	DRCHAB2	-113.79	-184.51	86.21	115.49	.	.
DRCHA	B	DRCHAB3	-116.93	-169.65	83.07	130.35	.	.
DRCHA	B	DRCHAB4	-98.33	-169.65	101.67	130.35	.	.
DRCHA	B	DRCHAB5	-105.33	-141.95	94.67	158.05	.	.
DRCHA	B	DRCHAB6	-138.93	-135.95	61.07	164.05	.	.
DRCHA	B	DRCHAB7	-159.23	-128.56	40.77	171.44	.	.
DRCHA	B	DRCHAB8	-71.94	-89.94	128.06	210.06	.	.
DRCHA	B	DRCHAB9	-137.82	-163.28	62.18	136.72	.	.
DRCHA	N	DRCHAN1	-77.82	-208.17	122.18	91.83	.	.
DRCHA	N	DRCHAN10	-69.15	-86.06	130.85	213.94	.	.
DRCHA	N	DRCHAN2	-68.86	-109.48	131.14	190.52	.	.
DRCHA	N	DRCHAN3	-92.26	-85.91	107.74	214.09	.	.
DRCHA	N	DRCHAN4	-150.56	-104	49.44	196.00	.	.
DRCHA	N	DRCHAN5	-158.41	-124.7	41.59	175.30	.	.
DRCHA	N	DRCHAN6	-173.3	-138.96	26.70	161.04	.	.
DRCHA	N	DRCHAN7	-160.59	-125.85	39.41	174.15	.	.
DRCHA	N	DRCHAN8	-161.34	-137.91	38.66	162.09	1	0
DRCHA	N	DRCHAN9	-95.31	-84.56	104.69	215.44	1	0
DRCHA	P	DRCHAP1	-83.575318	-131.8071	116.42	168.19	4	0
DRCHA	P	DRCHAP10	-138.13	-198.23	61.87	101.77	2	1
DRCHA	P	DRCHAP2	-71.94	-117.94	128.06	182.06	3	2
DRCHA	P	DRCHAP3	-69.42	-103.66	130.58	196.34	6	2
DRCHA	P	DRCHAP4	-96.97	-103.49	103.03	196.51	0	3
DRCHA	P	DRCHAP5	-124.53	-123.87	75.47	176.13	11	0
DRCHA	P	DRCHAP6	-155.32	-116.42	44.68	183.58	.	.
DRCHA	P	DRCHAP7	-186.87	-142.96	13.13	157.04	2	5
DRCHA	P	DRCHAP8	-172.86	-152.77	27.14	147.23	.	.
DRCHA	P	DRCHAP9	-148.18	-172.55	51.82	127.45	.	.
DRCHA	R	DRCHAR1	-100.58	-166.77	99.42	133.23	.	.
