FILE,PLANT,Fam001A,Fam001B,FamMg3A,FamMg3B,Fam018A,Fam018B,Tet403A,Tet403B,TetE02A,TetE02B,TetMC5A,TetMC5B,Hex406A,Hex406B,Hex402A,Hex402B,HexA05A,HexA05B
01¥A1,871,122,124,179,195,246,246,107,107,185,185,235,235,98,102,148,154,200,200
01¥A2,873,124,124,179,179,248,248,105,107,169,169,239,239,98,98,148,148,200,200
03¥A3,1065,124,124,179,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
03¥A4,1066,124,124,179,195,248,248,107,107,185,185,235,235,102,102,148,148,200,200
05¥A5,1067,124,124,195,195,248,248,107,107,169,185,235,235,102,102,148,148,200,200
05¥A6,1069,122,124,179,179,246,246,107,107,185,187,235,235,102,102,138,152,200,202
07¥A7,1070,122,124,179,179,246,246,109,109,169,169,235,235,100,100,124,152,202,202
07¥A8,1072,124,124,179,179,246,246,107,145,185,185,235,235,100,102,148,152,200,200
09¥B1,1073,114,124,179,207,246,246,107,107,175,185,235,235,98,98,142,152,200,202
09¥B2,1074,122,124,179,179,246,246,145,145,185,185,235,235,102,102,138,152,202,202
11¥B3,1075,122,124,179,179,246,246,107,107,185,187,235,235,100,102,152,152,200,202
11¥B4,1076,124,124,179,179,246,246,107,145,185,187,235,235,100,100,138,142,202,202
13¥B5,1077,122,124,179,179,246,246,107,145,185,185,235,235,100,102,138,142,200,200
13¥B6,1078,122,124,179,179,246,246,107,145,169,187,235,235,100,100,138,138,202,202
15¥B7,1079,124,124,0,0,246,246,107,145,0,0,235,235,100,102,138,138,200,200
15¥B8,1080,122,124,179,179,246,246,107,107,187,187,235,235,100,102,138,152,200,202
17¥C1,1081,122,124,179,179,246,246,107,145,185,187,235,235,100,102,138,152,200,202
17¥C2,1082,124,124,179,179,246,248,107,107,169,185,235,235,98,100,138,148,196,202
19¥C3,1083,122,122,179,179,246,246,107,145,185,185,235,235,100,102,152,152,200,202
19¥C4,1084,124,124,179,179,246,246,145,145,185,185,235,235,102,102,138,152,200,202
21¥C5,1085,124,124,177,179,246,246,107,107,173,175,235,235,98,98,152,152,200,202
21¥C6,1086,124,124,177,179,246,246,107,107,175,175,235,235,98,98,152,152,200,202
23¥C7,1087,124,124,177,207,246,246,107,113,175,185,235,235,98,98,152,152,202,202
23¥C8,1088,124,124,179,195,246,248,125,145,149,185,235,235,98,100,140,152,196,200
25¥D1,1089,124,124,207,207,248,248,125,145,175,189,235,239,100,102,148,148,200,200
25¥D2,1090,124,124,179,179,246,248,107,107,169,185,235,235,100,102,142,148,200,202
27¥D3,1091,114,124,179,179,246,246,107,107,173,175,235,235,98,98,142,152,200,202
27¥D4,1092,124,124,179,207,248,248,113,125,175,175,235,235,98,100,124,148,200,202
29¥D5,1093,124,124,179,195,246,248,107,125,185,189,235,239,98,100,142,152,202,202
29¥D6,1094,124,124,179,191,246,248,107,127,169,175,235,235,102,102,148,148,200,200
31¥D7,1095,122,124,179,193,248,248,107,113,169,175,239,239,100,100,0,0,200,204
31¥D8,1096,124,124,179,179,248,248,107,107,169,185,235,235,102,102,148,148,200,200
33¥E1,1097,124,124,195,195,248,248,107,107,169,169,235,235,102,102,148,148,200,200
33¥E2,1098,124,124,179,179,246,248,107,107,175,185,235,235,100,102,148,152,200,200
35¥E3,1099,124,126,179,195,246,248,107,107,175,189,235,239,100,102,148,152,202,202
35¥E4,1100,124,124,179,187,248,248,107,107,175,185,235,235,100,102,140,142,200,200
08¥E5,1101,122,122,179,193,248,248,113,113,175,175,239,239,100,100,138,152,204,204
10¥E6,1102,124,124,179,179,248,248,107,107,175,185,235,235,102,102,142,148,200,200
12¥E7,1103,122,126,179,193,246,248,107,115,185,185,235,235,98,98,138,148,200,200
14¥E8,1104,124,124,191,191,248,248,107,127,179,187,239,239,98,102,138,138,200,202
16¥F1,1105,122,124,179,195,248,248,107,107,185,185,235,235,100,102,148,148,200,200
18¥F2,1106,124,124,179,205,248,248,107,107,175,185,235,235,100,100,138,148,196,200
20¥F3,1107,124,124,193,195,248,248,107,107,169,175,235,239,100,100,142,152,202,204
22¥F4,1108,124,124,179,191,246,246,107,127,175,175,235,235,102,102,148,152,200,200
24¥F5,1109,122,124,179,205,246,248,107,107,175,175,235,235,100,100,138,138,200,200
26¥F6,1110,122,124,191,191,246,248,127,127,175,187,239,239,98,98,138,152,200,200
28¥F7,1111,124,124,205,205,246,246,127,145,189,189,235,235,102,102,138,138,200,200
30¥F8,1112,124,124,191,205,246,246,107,127,175,189,235,239,98,98,138,152,200,204
01¥A1,1113,122,122,179,179,248,248,107,107,175,185,235,239,100,100,148,152,200,200
02¥A2,1115,114,124,207,207,246,248,105,145,169,185,235,235,100,102,142,148,196,200
03¥A3,1116,124,134,201,207,246,248,107,127,177,187,235,235,102,106,138,152,200,200
