Offspring ID	O loci typed	Known parent ID	KP loci typed	KP class	O-KP loci compared	0-KP loci mismatching	Prob. non-exclusion	Candidate parent ID	CP loci typed	O-CP loci compared	O-CP loci mismatching	O-KP-CP loci compared	O-KP-CP loci mismatching	LOD	Delta	Confidence
J1	7	1921	8	Typed	6	0	 2.53926729783416E-0003	1829	9	7	0	6	1	 2.54105806350708E+0000	 1.46452343463898E+0000	*
J1	7	1921	8	Typed	6	0	 2.53926729783416E-0003	1921	8	6	0	6	2	 1.07653462886810E+0000	 0.00000000000000E+0000	
J1	7	1921	8	Typed	6	0	 2.53926729783416E-0003	1924	7	6	1	5	1	-2.08833312988281E+0000	 0.00000000000000E+0000	
J2	5	1921	8	Typed	4	0	 2.32495456933975E-0001	1829	9	5	0	4	0	 2.53882217407227E+0000	 1.46452355384827E+0000	*
J2	5	1921	8	Typed	4	0	 2.32495456933975E-0001	1921	8	4	0	4	1	 1.07429862022400E+0000	 0.00000000000000E+0000	
J2	5	1921	8	Typed	4	0	 2.32495456933975E-0001	1924	7	5	1	4	0	-1.70250976085663E+0000	 0.00000000000000E+0000	
K2	8	1921	8	Typed	7	0	 8.20023415144533E-0004	1924	7	7	0	6	1	 1.71097004413605E+0000	 1.71097004413605E+0000	*
K2	8	1921	8	Typed	7	0	 8.20023415144533E-0004	1829	9	8	0	7	2	-2.08176642656326E-0001	 0.00000000000000E+0000	
K2	8	1921	8	Typed	7	0	 8.20023415144533E-0004	1921	8	7	0	7	3	-1.01074755191803E+0000	 0.00000000000000E+0000	
K3	4	1921	8	Typed	3	0	 1.00220784544944E-0001	1924	7	4	0	3	0	 1.71444177627563E+0000	 1.21603858470917E+0000	*
K3	4	1921	8	Typed	3	0	 1.00220784544944E-0001	1921	8	3	0	3	1	 4.98403221368790E-0001	 0.00000000000000E+0000	
K3	4	1921	8	Typed	3	0	 1.00220784544944E-0001	1829	9	4	0	3	1	 3.25505077838898E-0001	 0.00000000000000E+0000	
L2	2	1925	6	Typed	2	0	 2.95544385910034E-0001	359	8	2	0	2	0	 1.17617034912109E+0000	 1.17617034912109E+0000	*
L2	2	1925	6	Typed	2	0	 2.95544385910034E-0001	1925	6	2	0	2	1	-7.30498373508453E-0001	 0.00000000000000E+0000	
L4	5	1925	6	Typed	4	0	 5.79032897949219E-0002	359	8	5	0	4	0	 1.94155657291412E+0000	 1.94155657291412E+0000	*
L4	5	1925	6	Typed	4	0	 5.79032897949219E-0002	1925	6	4	0	4	3	-5.75447082519531E+0000	 0.00000000000000E+0000	
M1	7	1927	9	Typed	7	0	 1.97478346526623E-0002	1928	9	7	0	7	0	 3.07196307182312E+0000	 3.07196307182312E+0000	*
M1	7	1927	9	Typed	7	0	 1.97478346526623E-0002	1927	9	7	0	7	3	-4.24797868728638E+0000	 0.00000000000000E+0000	
M1	7	1927	9	Typed	7	0	 1.97478346526623E-0002	1931	9	7	2	7	3	-4.29173088073730E+0000	 0.00000000000000E+0000	
M2	6	1927	9	Typed	6	0	 6.15854971110821E-0002	1928	9	6	0	6	0	 1.73040568828583E+0000	 1.73040568828583E+0000	*
M2	6	1927	9	Typed	6	0	 6.15854971110821E-0002	1931	9	6	1	6	2	-1.78563284873962E+0000	 0.00000000000000E+0000	
M2	6	1927	9	Typed	6	0	 6.15854971110821E-0002	1927	9	6	0	6	2	-1.87273132801056E+0000	 0.00000000000000E+0000	
M3	9	1927	9	Typed	9	0	 5.35820703362333E-0008	1931	9	9	1	9	5	-3.51813077926636E+0000	 0.00000000000000E+0000	
M3	9	1927	9	Typed	9	0	 5.35820703362333E-0008	1927	9	9	0	9	5	-4.19682168960571E+0000	 0.00000000000000E+0000	
M3	9	1927	9	Typed	9	0	 5.35820703362333E-0008	1928	9	9	1	9	5	-4.93453168869019E+0000	 0.00000000000000E+0000	
M4	9	1927	9	Typed	9	0	 8.58537480235100E-0002	1927	9	9	0	9	1	 1.47457885742187E+0000	 5.81757247447967E-0001	+
M4	9	1927	9	Typed	9	0	 8.58537480235100E-0002	1928	9	9	0	9	0	 8.92821609973907E-0001	 0.00000000000000E+0000	
M4	9	1927	9	Typed	9	0	 8.58537480235100E-0002	1931	9	9	2	9	2	-1.50985443592072E+0000	 0.00000000000000E+0000	
N2	9	1927	9	Typed	9	0	 1.66910007596016E-0001	1931	9	9	0	9	0	 4.21499252319336E+0000	 4.21499252319336E+0000	*
N2	9	1927	9	Typed	9	0	 1.66910007596016E-0001	1927	9	9	0	9	1	-2.30498388409615E-0001	 0.00000000000000E+0000	
N2	9	1927	9	Typed	9	0	 1.66910007596016E-0001	1928	9	9	1	9	2	-3.76064109802246E+0000	 0.00000000000000E+0000	
N3	8	1927	9	Typed	8	0	 1.81115465238690E-0003	1931	9	8	1	8	3	-3.41159534454346E+0000	 0.00000000000000E+0000	
N3	8	1927	9	Typed	8	0	 1.81115465238690E-0003	1927	9	8	0	8	3	-4.08308410644531E+0000	 0.00000000000000E+0000	
N3	8	1927	9	Typed	8	0	 1.81115465238690E-0003	1928	9	8	1	8	3	-4.11948108673096E+0000	 0.00000000000000E+0000	
N4	6	1927	9	Typed	6	0	 2.09783688187599E-0001	1931	9	6	0	6	0	 3.30482959747314E+0000	 3.30482959747314E+0000	*
N4	6	1927	9	Typed	6	0	 2.09783688187599E-0001	1927	9	6	0	6	1	-5.03035068511963E-0001	 0.00000000000000E+0000	
N4	6	1927	9	Typed	6	0	 2.09783688187599E-0001	1928	9	6	1	6	2	-3.52039313316345E+0000	 0.00000000000000E+0000	
1926_4T	8	1926	9	Typed	8	0	 2.88728863000870E-0001	1926	9	8	0	8	0	 3.41448307037354E+0000	 3.41448307037354E+0000	*
1926_5T	8	1926	9	Typed	8	0	 2.88728863000870E-0001	1926	9	8	0	8	0	 3.41448307037354E+0000	 3.41448307037354E+0000	*
1926_6T	8	1926	9	Typed	8	0	 2.88728863000870E-0001	1926	9	8	0	8	0	 3.41448307037354E+0000	 3.41448307037354E+0000	*
1926_4E	3	1926	9	Typed	3	0	 6.00804209709167E-0001	1926	9	3	0	3	1	-1.11788403987885E+0000	 0.00000000000000E+0000	
1926_5E	9	1926	9	Typed	9	0	 2.79157496988773E-0002	1926	9	9	0	9	0	 3.93175745010376E+0000	 3.93175745010376E+0000	*
1926_6E	9	1926	9	Typed	9	0	 5.57131804525852E-0002	1926	9	9	0	9	0	 4.97535562515259E+0000	 4.97535562515259E+0000	*
