Offspring ID	O loci typed	Known parent ID	KP loci typed	KP class	O-KP loci compared	0-KP loci mismatching	Prob. non-exclusion	Candidate parent ID	CP loci typed	O-CP loci compared	O-CP loci mismatching	O-KP-CP loci compared	O-KP-CP loci mismatching	LOD	Delta	Confidence
J1	7	1921	8	Typed	6	0	0.002539267	1829	9	7	0	6	1	2.541058064	2.541058064	+
J1	7	1921	8	Typed	6	0	0.002539267	1924	7	6	1	5	1	-2.088333130	0.000000000	
J2	5	1921	8	Typed	4	0	0.232495457	1829	9	5	0	4	0	2.538822174	2.538822174	+
J2	5	1921	8	Typed	4	0	0.232495457	1924	7	5	1	4	0	-1.702509761	0.000000000	
K2	8	1921	8	Typed	7	0	0.000820023	1924	7	7	0	6	1	1.710970044	1.710970044	+
K2	8	1921	8	Typed	7	0	0.000820023	1829	9	8	0	7	2	-0.208176643	0.000000000	
K3	4	1921	8	Typed	3	0	0.100220785	1924	7	4	0	3	0	1.714441776	1.388936758	+
K3	4	1921	8	Typed	3	0	0.100220785	1829	9	4	0	3	1	0.325505078	0.000000000	
L2	2	1925	6	Typed	2	0	0.295544386	359	8	2	0	2	0	1.176170349	1.176170349	+
L4	5	1925	6	Typed	4	0	0.057903290	359	8	5	0	4	0	1.941556573	1.941556573	+
M1	7	1927	9	Typed	7	0	0.019747835	1928	9	7	0	7	0	3.071963072	3.071963072	*
M1	7	1927	9	Typed	7	0	0.019747835	1931	9	7	2	7	3	-4.291730881	0.000000000	
M2	6	1927	9	Typed	6	0	0.061585497	1928	9	6	0	6	0	1.730405688	1.730405688	+
M2	6	1927	9	Typed	6	0	0.061585497	1931	9	6	1	6	2	-1.785632849	0.000000000	
M3	9	1927	9	Typed	9	0	0.000000054	1931	9	9	1	9	5	-3.518130779	0.000000000	
M3	9	1927	9	Typed	9	0	0.000000054	1928	9	9	1	9	5	-4.934531689	0.000000000	
M4	9	1927	9	Typed	9	0	0.085853748	1928	9	9	0	9	0	0.892821610	0.892821610	-
M4	9	1927	9	Typed	9	0	0.085853748	1931	9	9	2	9	2	-1.509854436	0.000000000	
N2	9	1927	9	Typed	9	0	0.166910008	1931	9	9	0	9	0	4.214992523	4.214992523	*
N2	9	1927	9	Typed	9	0	0.166910008	1928	9	9	1	9	2	-3.760641098	0.000000000	
N3	8	1927	9	Typed	8	0	0.001811155	1931	9	8	1	8	3	-3.411595345	0.000000000	
N3	8	1927	9	Typed	8	0	0.001811155	1928	9	8	1	8	3	-4.119481087	0.000000000	
N4	6	1927	9	Typed	6	0	0.209783688	1931	9	6	0	6	0	3.304829597	3.304829597	*
N4	6	1927	9	Typed	6	0	0.209783688	1928	9	6	1	6	2	-3.520393133	0.000000000	
1926_4T	8	1926	9	Typed	8	0	0.288728863	1926	9	8	0	8	0	3.414483070	3.414483070	*
1926_5T	8	1926	9	Typed	8	0	0.288728863	1926	9	8	0	8	0	3.414483070	3.414483070	*
1926_6T	8	1926	9	Typed	8	0	0.288728863	1926	9	8	0	8	0	3.414483070	3.414483070	*
1926_4E	3	1926	9	Typed	3	0	0.600804210	1926	9	3	0	3	1	-1.117884040	0.000000000	
1926_5E	9	1926	9	Typed	9	0	0.027915750	1926	9	9	0	9	0	3.931757450	3.931757450	*
1926_6E	9	1926	9	Typed	9	0	0.055713180	1926	9	9	0	9	0	4.975355625	4.975355625	*
1927_1T	8	1927	9	Typed	8	0	0.296602458	1927	9	8	0	8	0	3.106001377	3.106001377	*
1927_4T	8	1927	9	Typed	8	0	0.296602458	1927	9	8	0	8	0	3.106001377	3.106001377	*
1927_5T	7	1927	9	Typed	7	0	0.296797603	1927	9	7	0	7	0	3.078104258	3.078104258	*
1927_1E	7	1927	9	Typed	7	0	0.022859117	1927	9	7	0	7	2	-2.102692842	0.000000000	
1927_4E	7	1927	9	Typed	7	0	0.000042105	1927	9	7	0	7	3	-1.028296351	0.000000000	
1927_5E	7	1927	9	Typed	7	0	0.050320551	1927	9	7	0	7	2	-0.960556924	0.000000000	
1928_1T	6	1928	9	Typed	6	0	0.305303544	1928	9	6	0	6	0	2.776988268	2.776988268	*
1928_3T	7	1928	9	Typed	7	0	0.283327490	1928	9	7	0	7	0	3.077726364	3.077726364	*
