mhab	seed	to	from	dist	seedcode	first match	2ndmatch	check	state	pop	dist+1	n
PRUNUS	1843_C_T1	1843	1843	0.0	1843CT1	1843	.	OK	Defecated	NCH	1	1
PRUNUS	1843_C_T2	1843	1843	0.0	1843CT2	1843	.	OK	Defecated	NCH	1	1
PRUNUS	1843_C_T3	1843	1843	0.0	1843CT3	1843	.	OK	Defecated	NCH	1	1
PRUNUS	1843_C_T4	1843	1843	0.0	1843CT4	1843	.	OK	Defecated	NCH	1	1
PRUNUS	1843_C_T5	1843	1843	0.0	1843CT5	1843	.	OK	Defecated	NCH	1	1
PRUNUS	1843_C_T6	1843	1843	0.0	1843CT6	1843	.	OK	Defecated	NCH	1	1
PRUNUS	1921_C_T1	1921	1823	0.0	1921CT1	1921	1067	OK	Defecated	NCH	1	1
PRUNUS	1921_C_T2	1921	1834	0.0	1921CT2	1921	1067	OK	Defecated	NCH	1	1
PRUNUS	1921_C_T3	1921	1921	0.0	1921CT3	1921	1067	OK	Defecated	NCH	1	1
PRUNUS	1921_C_T4	1921	1921	0.0	1921CT4	1921	1067	OK	Defecated	NCH	1	1
PRUNUS	1921_C_T5	1921	1921	0.0	1921CT5	1921	1067	OK	Defecated	NCH	1	1
PRUNUS	1921_R_T1	1921	1921	0.0	1921RT1	1921	1067	OK	Regurgitated	NCH	1	1
PRUNUS	1921_R_T3	1921	1921	161.5	1921RT3	1823	.	OK	Regurgitated	NCH	162.5	1
PRUNUS	1921_R_T4	1921	1921	170.4	1921RT4	1834	.	OK	Regurgitated	NCH	171.4	1
PRUNUS	1921_R_T2	1921	TC	3250.0	1921RT2	.	.	OK	Regurgitated	Outside	3251	1
PRUNUS	1927_C_T1	1927	1846	3.4	1927CT1	1846	.	OK	Defecated	NCH	4.4	1
PRUNUS	1927_C_T2	1927	1921	155.6	1927CT2	1921	1067	OK	Defecated	NCH	156.6	1
PRUNUS	1927_C_T3	1927	1927	0.0	1927CT3	1927	.	OK	Defecated	NCH	1	1
PRUNUS	1927_C_T4	1927	1927	0.0	1927CT4	1927	.	OK	Defecated	NCH	1	1
PRUNUS	1927_R_T1	1927	1837	86.0	1927RT1	1837	.	OK	Regurgitated	NCH	87	1
