MICROHAB	POINT	NAME	TREE	NEWX	NEWY	SPECIES MHAB
PRUNUS	1	Prunus_356	356	139.2	288.2	Prunus
PRUNUS	2	Prunus_357	357	134.5	287.3	Prunus
PRUNUS	3	Prunus_358	358	197.2	326.5	Prunus
PRUNUS	4	Prunus_359	359	214.0	371.9	Prunus
PRUNUS	5	Prunus_360	360	201.4	379.4	Prunus
PRUNUS	6	Prunus_361	361	227.4	389.7	Prunus
PRUNUS	7	Prunus_362	362	219.2	398.7	Prunus
PRUNUS	8	Prunus_363	363	232.7	413.9	Prunus
PRUNUS	9	Prunus_364	364	226.0	433.6	Prunus
PRUNUS	10	Prunus_365	365	229.9	429.4	Prunus
PRUNUS	11	Prunus_366	366	229.3	427.1	Prunus
PRUNUS	12	Prunus_367	367	221.2	434.1	Prunus
PRUNUS	13	Prunus_368	368	214.1	433.8	Prunus
PRUNUS	14	Prunus_369	369	214.3	436.4	Prunus
PRUNUS	15	Prunus_370	370	219.3	437.1	Prunus
PRUNUS	16	Prunus_371	371	228.3	445.5	Prunus
PRUNUS	17	Prunus_372	372	215.1	443.5	Prunus
PRUNUS	18	Prunus_373	373	197.6	438.8	Prunus
PRUNUS	19	Prunus_374	374	178.9	515.5	Prunus
PRUNUS	20	Prunus_375	375	254.9	479.7	Prunus
PRUNUS	21	Prunus_376	376	256.1	483.4	Prunus
PRUNUS	22	Prunus_377	377	260.5	486.1	Prunus
PRUNUS	23	Prunus_378	378	264.4	487.1	Prunus
PRUNUS	24	Prunus_379	379	257.0	486.4	Prunus
PRUNUS	25	Prunus_380	380	252.1	455.3	Prunus
PRUNUS	26	Prunus_381	381	241.1	478.0	Prunus
PRUNUS	27	Prunus_382	382	252.6	461.4	Prunus
PRUNUS	28	Prunus_383	383	234.2	489.8	Prunus
PRUNUS	29	Prunus_384	384	236.8	482.0	Prunus
PRUNUS	30	Prunus_385	385	212.1	477.5	Prunus
PRUNUS	31	Prunus_386	386	218.1	475.7	Prunus
PRUNUS	32	Prunus_387	387	206.0	479.1	Prunus
PRUNUS	33	Prunus_388	388	211.3	487.0	Prunus
PRUNUS	34	Prunus_389	389	194.3	491.9	Prunus
PRUNUS	35	Prunus_390	390	186.0	505.5	Prunus
PRUNUS	36	Prunus_391	391	172.5	316.2	Prunus
PRUNUS	37	Prunus_392	392	152.6	287.8	Prunus
PRUNUS	38	Prunus_393	393	164.3	296.9	Prunus
PRUNUS	39	Prunus_394	394	163.5	295.1	Prunus
PRUNUS	40	Prunus_395	395	173.0	285.5	Prunus
PRUNUS	41	Prunus_396	396	231.7	437.4	Prunus
PRUNUS	42	Prunus_397	397	187.7	483.0	Prunus
PRUNUS	43	Prunus_398	398	148.8	475.8	Prunus
PRUNUS	44	Prunus_399	399	179.1	461.0	Prunus
PRUNUS	45	Prunus_400	400	175.0	459.2	Prunus
PRUNUS	46	Prunus_430	430	130.4	145.2	Prunus
PRUNUS	47	Prunus_871	871	176.0	291.1	Prunus
PRUNUS	48	Prunus_872	872	169.0	441.2	Prunus
PRUNUS	49	Prunus_873	873	135.1	525.2	Prunus
PRUNUS	50	Prunus_874	874	212.6	543.6	Prunus
PRUNUS	51	Prunus_875	875	217.6	534.8	Prunus
PRUNUS	52	Prunus_966	966	0.1	121.8	Prunus
PRUNUS	53	Prunus_967	967	14.8	164.4	Prunus
PRUNUS	54	Prunus_968	968	39.3	202.1	Prunus
PRUNUS	55	Prunus_969	969	324.9	914.6	Prunus
PRUNUS	56	Prunus_970	970	329.6	921.3	Prunus
PRUNUS	57	Prunus_971	971	359.7	1023.9	Prunus
PRUNUS	58	Prunus_972	972	370.3	1021.5	Prunus
PRUNUS	59	Prunus_973	973	370.3	1021.5	Prunus
PRUNUS	60	Prunus_974	974	379.8	1038.0	Prunus
PRUNUS	61	Prunus_975	975	374.1	1015.6	Prunus
PRUNUS	62	Prunus_976	976	374.6	1014.7	Prunus
PRUNUS	63	Prunus_977	977	384.3	986.1	Prunus
PRUNUS	64	Prunus_978	978	394.7	976.7	Prunus
PRUNUS	65	Prunus_979	979	378.6	979.2	Prunus
PRUNUS	66	Prunus_980	980	384.7	985.1	Prunus
PRUNUS	67	Prunus_981	981	327.4	997.5	Prunus
PRUNUS	68	Prunus_982	982	321.6	981.6	Prunus
PRUNUS	69	Prunus_983	983	313.2	978.3	Prunus
PRUNUS	70	Prunus_984	984	309.8	971.1	Prunus
PRUNUS	71	Prunus_985	985	285.8	929.5	Prunus
PRUNUS	72	Prunus_1065	1065	273.5	296.8	Prunus
PRUNUS	73	Prunus_1066	1066	302.7	300.2	Prunus
PRUNUS	74	Prunus_1067	1067	300.9	289.4	Prunus
PRUNUS	75	Prunus_1068	1068	250.3	214.2	Prunus
PRUNUS	76	Prunus_1069	1069	237.1	132.9	Prunus
PRUNUS	77	Prunus_1070	1070	208.7	72.0	Prunus
PRUNUS	78	Prunus_1072	1072	187.1	131.2	Prunus
PRUNUS	79	Prunus_1073	1073	132.1	147.4	Prunus
PRUNUS	80	Prunus_1074	1074	128.3	142.6	Prunus
PRUNUS	81	Prunus_1075	1075	126.0	129.6	Prunus
PRUNUS	82	Prunus_1076	1076	117.3	128.9	Prunus
PRUNUS	83	Prunus_1077	1077	131.9	88.6	Prunus
PRUNUS	84	Prunus_1078	1078	127.0	70.2	Prunus
PRUNUS	85	Prunus_1079	1079	137.7	95.5	Prunus
PRUNUS	86	Prunus_1080	1080	74.8	84.4	Prunus
PRUNUS	87	Prunus_1081	1081	61.5	81.3	Prunus
PRUNUS	88	Prunus_1082	1082	48.9	75.4	Prunus
PRUNUS	89	Prunus_1083	1083	47.0	71.9	Prunus
PRUNUS	90	Prunus_1084	1084	24.4	104.5	Prunus
PRUNUS	91	Prunus_1085	1085	-4.9	121.4	Prunus
PRUNUS	92	Prunus_1086	1086	149.3	134.9	Prunus
PRUNUS	93	Prunus_1087	1087	156.7	134.0	Prunus
PRUNUS	94	Prunus_1088	1088	189.4	196.2	Prunus
PRUNUS	95	Prunus_1089	1089	176.0	205.6	Prunus
PRUNUS	96	Prunus_1090	1090	175.2	206.1	Prunus
PRUNUS	97	Prunus_1091	1091	179.9	225.1	Prunus
PRUNUS	98	Prunus_1092	1092	307.8	350.8	Prunus
PRUNUS	99	Prunus_1093	1093	309.9	352.8	Prunus
PRUNUS	100	Prunus_1094	1094	317.9	360.3	Prunus
PRUNUS	101	Prunus_1095	1095	317.4	360.3	Prunus
PRUNUS	102	Prunus_1096	1096	329.3	360.3	Prunus
PRUNUS	103	Prunus_1097	1097	301.7	379.0	Prunus
PRUNUS	104	Prunus_1098	1098	309.1	377.6	Prunus
PRUNUS	105	Prunus_1099	1099	310.2	379.1	Prunus
PRUNUS	106	Prunus_1100	1100	312.6	376.4	Prunus
PRUNUS	107	Prunus_1101	1101	324.8	388.8	Prunus
PRUNUS	108	Prunus_1102	1102	386.0	450.8	Prunus
PRUNUS	109	Prunus_1103	1103	342.9	475.7	Prunus
PRUNUS	110	Prunus_1104	1104	323.0	469.3	Prunus
