site	mhab	punto	label	ox	oy	x	y	site	site1	micro	microcampo	punto	pl_97_agra	sd_agra_97	pl_98_agra	sd_agra_98	pl_99_agra	pl_97_aita	sd_aita_97	pl_98_aita	sd_aita_98	pl_99_aita	pl_97_aova	sd_aova_97	pl_98_aova	sd_aova_98	pl_99_aova	pl_97_bvul	sd_bvul_97	pl_98_bvul	sd_bvul_98	pl_99_bvul	pl_97_cgra	sd_cgra_97	pl_98_cgra	sd_cgra_98	pl_99_cgra	pl_97_cmon	sd_cmon_97	pl_98_cmon	sd_cmon_98	pl_99_cmon	pl_97_dlau	sd_dlau_97	pl_98_dlau	sd_dlau_98	pl_99_dlau	pl_97_hhel	sd_hhel_97	pl_98_hhel	sd_hhel_98	pl_99_hhel	pl_97_jcom	sd_jcom_97	pl_98_jcom	sd_jcom_98	pl_99_jcom	pl_97_jpho	sd_jpho_97	pl_98_jpho	sd_jpho_98	pl_99_jpho	pl_97_jsab	sd_jsab_97	pl_98_jsab	sd_jsab_98	pl_99_jsab	pl_97_joxy	sd_joxy_97	pl_98_joxy	sd_joxy_98	pl_99_joxy	pl_97_larb	sd_larb_97	pl_98_larb	sd_larb_98	pl_99_larb	pl_97_lspl	sd_lspl_97	pl_98_lspl	sd_lspl_98	pl_99_lspl	pl_97_pbro	sd_pbro_97	pl_98_pbro	sd_pbro_98	pl_99_pbro	pl_97_pmah	sd_pmah_97	pl_98_pmah	sd_pmah_98	pl_99_pmah	sd_pmah_99	pl_97_pnig	sd_pnig_97	pl_98_pnig	sd_pnig_98	pl_99_pnig	pl_97_qspp	sd_qspp_97	pl_98_qspp	sd_qspp_98	pl_99_qspp	pl_97_rosa	sd_rosa_97	pl_98_rosa	sd_rosa_98	pl_99_rosa	pl_97_rham	sd_rhamnus	pl_98_rham	sd_rhamnus	pl_99_rham	pl_97_sari	sd_sari_97	pl_98_sari	sd_sari_98	pl_99_sari	pl_97_tbac	sd_tbac_97	pl_98_tbac	sd_tbac_98	pl_99_tbac	sd_tbac_99
DRCHA	A	1	DRCHAA1	-142,39	-174,11	57,61	125,89	OUT	DRCHA	A	A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	2	DRCHAA2	-87,78	-139,08	112,22	160,92	OUT	DRCHA	A	A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	3	DRCHAA3	-110,72	-192,83	89,28	107,17	OUT	DRCHA	A	A	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	14	4	0	51	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	4	DRCHAA4	-129,44	-146,44	70,56	153,56	OUT	DRCHA	A	A	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	5	DRCHAA5	-123,65	-141,93	76,35	158,07	OUT	DRCHA	A	A	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
DRCHA	A	6	DRCHAA6	-127,37	-146,81	72,63	153,19	OUT	DRCHA	A	A	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	7	DRCHAA7	-113,46	-134,42	86,54	165,58	OUT	DRCHA	A	A	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	44	0	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
DRCHA	A	8	DRCHAA8	-103,28	-137,09	96,72	162,91	OUT	DRCHA	A	A	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	29	9	11	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	9	DRCHAA9	-109,77	-127,19	90,23	172,81	OUT	DRCHA	A	A	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	21	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	A	10	DRCHAA10	-130,96	-140,55	69,04	159,45	OUT	DRCHA	A	A	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	1	DRCHAB1	-129,19	-174,93	70,81	125,07	OUT	DRCHA	B	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	2	DRCHAB2	-113,79	-184,51	86,21	115,49	OUT	DRCHA	B	B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRCHA	B	3	DRCHAB3	-116,93	-169,65	83,07	130,35	OUT	DRCHA	B	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
