orden	loc	area	mhab1	mhab2	point	name	ox	oy	x	y	species	code	year	n	densm2
55981	OUT	DRCHA	A	A	1	DRCHAA1	-142,39	-174,11	57,61	125,89	Larb	seedling	1997	0	0,00
55982	OUT	DRCHA	A	A	2	DRCHAA2	-87,78	-139,08	112,22	160,92	Rspp	seedling	1997	0	0,00
55983	OUT	DRCHA	A	A	3	DRCHAA3	-110,72	-192,83	89,28	107,17	Pmah	seedling	1997	1	6,02
55984	OUT	DRCHA	A	A	4	DRCHAA4	-129,44	-146,44	70,56	153,56	Larb	seedling	1997	0	0,00
55985	OUT	DRCHA	A	A	5	DRCHAA5	-123,65	-141,93	76,35	158,07	Larb	seedling	1997	0	0,00
55986	OUT	DRCHA	A	A	6	DRCHAA6	-127,37	-146,81	72,63	153,19	Cmon	seedling	1997	0	0,00
55987	OUT	DRCHA	A	A	7	DRCHAA7	-113,46	-134,42	86,54	165,58	Pmah	seedling	1997	0	0,00
55988	OUT	DRCHA	A	A	8	DRCHAA8	-103,28	-137,09	96,72	162,91	Pmah	seedling	1997	3	18,07
55989	OUT	DRCHA	A	A	9	DRCHAA9	-109,77	-127,19	90,23	172,81	Rspp	seedling	1997	0	0,00
55990	OUT	DRCHA	A	A	10	DRCHAA10	-130,96	-140,55	69,04	159,45	Cmon	seedling	1997	0	0,00
55991	OUT	DRCHA	B	B	1	DRCHAB1	-129,19	-174,93	70,81	125,07	Bvul	seedling	1997	0	0,00
55992	OUT	DRCHA	B	B	2	DRCHAB2	-113,79	-184,51	86,21	115,49	Jcom	seedling	1997	0	0,00
55993	OUT	DRCHA	B	B	3	DRCHAB3	-116,93	-169,65	83,07	130,35	Jcom	seedling	1997	0	0,00
55994	OUT	DRCHA	B	B	4	DRCHAB4	-98,33	-169,65	101,67	130,35	Jcom	seedling	1997	0	0,00
55995	OUT	DRCHA	B	B	5	DRCHAB5	-105,33	-141,95	94,67	158,05	Bvul	seedling	1997	0	0,00
55996	OUT	DRCHA	B	B	6	DRCHAB6	-138,93	-135,95	61,07	164,05	Jcom	seedling	1997	0	0,00
55997	OUT	DRCHA	B	B	7	DRCHAB7	-159,23	-128,56	40,77	171,44	Bvul	seedling	1997	0	0,00
55998	OUT	DRCHA	B	B	8	DRCHAB8	-71,94	-89,94	128,06	210,06	Rsax	seedling	1997	0	0,00
55999	OUT	DRCHA	B	B	9	DRCHAB9	-137,82	-163,28	62,18	136,72	Rsax	seedling	1997	0	0,00
56000	OUT	DRCHA	N	N	1	DRCHAN1	-77,82	-208,17	122,18	91,83	Agra	seedling	1997	0	0,00
56001	OUT	DRCHA	N	N	2	DRCHAN2	-68,86	-109,48	131,14	190,52	Agra	seedling	1997	0	0,00
56002	OUT	DRCHA	N	N	3	DRCHAN3	-92,26	-85,91	107,74	214,09	Agra	seedling	1997	0	0,00
56003	OUT	DRCHA	N	N	4	DRCHAN4	-150,56	-104	49,44	196,00	Agra	seedling	1997	0	0,00
56004	OUT	DRCHA	N	N	5	DRCHAN5	-158,41	-124,7	41,59	175,30	Qile	seedling	1997	0	0,00
56005	OUT	DRCHA	N	N	6	DRCHAN6	-173,3	-138,96	26,70	161,04	Agra	seedling	1997	0	0,00
56006	OUT	DRCHA	N	N	7	DRCHAN7	-160,59	-125,85	39,41	174,15	Qile	seedling	1997	0	0,00
56007	OUT	DRCHA	N	N	8	DRCHAN8	-161,34	-137,91	38,66	162,09	Qfag	seedling	1997	0	0,00
56008	OUT	DRCHA	N	N	9	DRCHAN9	-95,31	-84,56	104,69	215,44	Agra	seedling	1997	0	0,00
56009	OUT	DRCHA	N	N	10	DRCHAN10	-69,15	-86,06	130,85	213,94	Agra	seedling	1997	0	0,00
56010	OUT	DRCHA	P	P	1	DRCHAP1	-83,58	-131,81	116,42	168,19	Pnig	seedling	1997	0	0,00
56011	OUT	DRCHA	P	P	2	DRCHAP2	-71,94	-117,94	128,06	182,06	Pnig	seedling	1997	2	12,05
56012	OUT	DRCHA	P	P	3	DRCHAP3	-69,42	-103,66	130,58	196,34	Pnig	seedling	1997	0	0,00
56013	OUT	DRCHA	P	P	4	DRCHAP4	-96,97	-103,49	103,03	196,51	Pnig	seedling	1997	0	0,00
56014	OUT	DRCHA	P	P	5	DRCHAP5	-124,53	-123,87	75,47	176,13	Pnig	seedling	1997	0	0,00
56015	OUT	DRCHA	P	P	6	DRCHAP6	-155,32	-116,42	44,68	183,58	Pnig	seedling	1997	0	0,00
56016	OUT	DRCHA	P	P	7	DRCHAP7	-186,87	-142,96	13,13	157,04	Pnig	seedling	1997	0	0,00
56017	OUT	DRCHA	P	P	8	DRCHAP8	-172,86	-152,77	27,14	147,23	Pnig	seedling	1997	0	0,00
56018	OUT	DRCHA	P	P	9	DRCHAP9	-148,18	-172,55	51,82	127,45	Pnig	seedling	1997	0	0,00
56019	OUT	DRCHA	P	P	10	DRCHAP10	-138,13	-198,23	61,87	101,77	Pnig	seedling	1997	4	24,10
56020	OUT	DRCHA	R	R	1	DRCHAR1	-100,58	-166,77	99,42	133,23	00DA	seedling	1997	0	0,00
56021	OUT	DRCHA	R	R	2	DRCHAR2	-112,97	-165,69	87,03	134,31	00DA	seedling	1997	0	0,00
56022	OUT	DRCHA	R	R	3	DRCHAR3	-115,09	-155,51	84,91	144,49	00DA	seedling	1997	0	0,00
56023	OUT	DRCHA	R	R	4	DRCHAR4	-120,63	-155,06	79,37	144,94	00DA	seedling	1997	0	0,00
56024	OUT	DRCHA	R	R	5	DRCHAR5	-116,93	-148,65	83,07	151,35	00DA	seedling	1997	0	0,00
56025	OUT	DRCHA	R	R	6	DRCHAR6	-105,14	-121,67	94,86	178,33	00DA	seedling	1997	0	0,00
56026	OUT	DRCHA	R	R	7	DRCHAR7	-121,42	-122,95	78,58	177,05	00DA	seedling	1997	0	0,00
56027	OUT	DRCHA	R	R	8	DRCHAR8	-122,37	-127,19	77,63	172,81	00DA	seedling	1997	0	0,00
56028	OUT	DRCHA	R	R	9	DRCHAR9	-123,68	-132,25	76,32	167,75	00DA	seedling	1997	0	0,00
56029	OUT	DRCHA	R	R	10	DRCHAR10	-126,49	-136,84	73,51	163,16	00DA	seedling	1997	0	0,00
56030	OUT	DRCHA	S	S	1	DRCHAS1	-137,93	-185,02	62,07	114,98	00DA	seedling	1997	0	0,00
56031	OUT	DRCHA	S	S	2	DRCHAS2	-130,24	-177,2	69,76	122,80	00DA	seedling	1997	0	0,00
56032	OUT	DRCHA	S	S	3	DRCHAS3	-121,01	-171,79	78,99	128,21	00DA	seedling	1997	0	0,00
56033	OUT	DRCHA	S	S	4	DRCHAS4	-114,1	-181,03	85,90	118,97	00DA	seedling	1997	0	0,00
56034	OUT	DRCHA	S	S	5	DRCHAS5	-103,93	-184,36	96,07	115,64	00DA	seedling	1997	0	0,00
56035	OUT	DRCHA	S	S	6	DRCHAS6	-89,77	-179,53	110,23	120,47	00DA	seedling	1997	0	0,00
56036	OUT	DRCHA	S	S	7	DRCHAS7	-80,93	-169,65	119,07	130,35	00DA	seedling	1997	0	0,00
56037	OUT	DRCHA	S	S	8	DRCHAS8	-75,9	-149,55	124,10	150,45	00DA	seedling	1997	0	0,00
56038	OUT	DRCHA	S	S	9	DRCHAS9	-81,35	-140,11	118,65	159,89	00DA	seedling	1997	0	0,00
56039	OUT	DRCHA	S	S	10	DRCHAS10	-87,38	-125,23	112,62	174,77	00DA	seedling	1997	0	0,00
56040	OUT	ESQ	A	A	11	ESQA11	192,98	721,84	392,98	1021,84	Larb	seedling	1997	1	6,02
56041	OUT	ESQ	A	A	12	ESQA12	120,46	592,48	320,46	892,48	Rspp	seedling	1997	0	0,00
56042	OUT	ESQ	A	A	13	ESQA13	104,04	645,26	304,04	945,26	Cmon	seedling	1997	0	0,00
56043	OUT	ESQ	A	A	14	ESQA14	109,57	662,81	309,57	962,81	Cmon	seedling	1997	0	0,00
56044	OUT	ESQ	A	A	15	ESQA15	188,35	697,43	388,35	997,43	Larb	seedling	1997	2	12,05
56045	OUT	ESQ	A	A	16	ESQA16	200,1	730,64	400,10	1030,64	Pmah	seedling	1997	0	0,00
56046	OUT	ESQ	A	A	17	ESQA17	206,6	731,79	406,60	1031,79	Rspp	seedling	1997	1	6,02
56047	OUT	ESQ	A	A	18	ESQA18	189,76	700,85	389,76	1000,85	Rspp	seedling	1997	1	6,02
56048	OUT	ESQ	A	A	19	ESQA19	194,48	705,9	394,48	1005,90	Pmah	seedling	1997	1	6,02
56049	OUT	ESQ	A	A	20	ESQA20	202,49	724,07	402,49	1024,07	Cmon	seedling	1997	1	6,02
56050	OUT	ESQ	B	B	10	ESQB10	125,04	696,43	325,04	996,43	Rsax	seedling	1997	1	6,02
56051	OUT	ESQ	B	B	11	ESQB11	54,23	461,92	254,23	761,92	Jcom	seedling	1997	0	0,00
56052	OUT	ESQ	B	B	12	ESQB12	76,74	499	276,74	799,00	Jcom	seedling	1997	0	0,00
56053	OUT	ESQ	B	B	13	ESQB13	96,89	536,01	296,89	836,01	Bvul	seedling	1997	0	0,00
56054	OUT	ESQ	B	B	14	ESQB14	111,85	568,09	311,85	868,09	Jcom	seedling	1997	0	0,00
56055	OUT	ESQ	B	B	15	ESQB15	24,72	451,18	224,72	751,18	Rsax	seedling	1997	0	0,00
56056	OUT	ESQ	B	B	16	ESQB16	113,73	663,93	313,73	963,93	Bvul	seedling	1997	0	0,00
56057	OUT	ESQ	B	B	17	ESQB17	180,2	711,09	380,20	1011,09	Jcom	seedling	1997	0	0,00
56058	OUT	ESQ	B	B	18	ESQB18	202,61	716,66	402,61	1016,66	Bvul	seedling	1997	0	0,00
56059	OUT	ESQ	B	B	19	ESQB19	70,37	483,19	270,37	783,19	Bvul	seedling	1997	0	0,00
56060	OUT	ESQ	B	B	20	ESQB20	68,41	484,77	268,41	784,77	Rsax	seedling	1997	0	0,00
56061	OUT	ESQ	N	N	11	ESQN11	199,05	721,98	399,05	1021,98	Agra	seedling	1997	0	0,00
56062	OUT	ESQ	N	N	12	ESQN12	190,69	715,93	390,69	1015,93	Agra	seedling	1997	1	6,02
56063	OUT	ESQ	N	N	13	ESQN13	183,78	724,23	383,78	1024,23	Agra	seedling	1997	0	0,00
56064	OUT	ESQ	N	N	14	ESQN14	109,15	681,02	309,15	981,02	Agra	seedling	1997	0	0,00
56065	OUT	ESQ	N	N	15	ESQN15	105,64	627,2	305,64	927,20	Agra	seedling	1997	0	0,00
56066	OUT	ESQ	N	N	16	ESQN16	72,86	520,68	272,86	820,68	Agra	seedling	1997	0	0,00
56067	OUT	ESQ	N	N	17	ESQN17	67,22	497,63	267,22	797,63	Agra	seedling	1997	0	0,00
56068	OUT	ESQ	N	N	18	ESQN18	22,95	464,65	222,95	764,65	Qile	seedling	1997	0	0,00
56069	OUT	ESQ	N	N	19	ESQN19	27,24	466,68	227,24	766,68	Agra	seedling	1997	0	0,00
56070	OUT	ESQ	N	N	20	ESQN20	40,65	479,61	240,65	779,61	Qile	seedling	1997	0	0,00
56071	OUT	ESQ	P	P	11	ESQP11	72,56	530,14	272,56	830,14	Pnig	seedling	1997	0	0,00
56072	OUT	ESQ	P	P	12	ESQP12	75,83	480,04	275,83	780,04	Pnig	seedling	1997	0	0,00
56073	OUT	ESQ	P	P	13	ESQP13	96,89	513,11	296,89	813,11	Pnig	seedling	1997	1	6,02
56074	OUT	ESQ	P	P	14	ESQP14	112,37	560,3	312,37	860,30	Pnig	seedling	1997	0	0,00
56075	OUT	ESQ	P	P	15	ESQP15	105,02	612,91	305,02	912,91	Pnig	seedling	1997	0	0,00
56076	OUT	ESQ	P	P	16	ESQP16	119,46	606,75	319,46	906,75	Pnig	seedling	1997	0	0,00
56077	OUT	ESQ	P	P	17	ESQP17	153,06	664,16	353,06	964,16	Pnig	seedling	1997	0	0,00
56078	OUT	ESQ	P	P	18	ESQP18	172,49	712,72	372,49	1012,72	Pnig	seedling	1997	0	0,00
56079	OUT	ESQ	P	P	19	ESQP19	196,42	716,93	396,42	1016,93	Pnig	seedling	1997	1	6,02
56080	OUT	ESQ	P	P	20	ESQP20	218,78	732,59	418,78	1032,59	Pnig	seedling	1997	1	6,02
56081	OUT	ESQ	R	R	11	ESQR11	54,23	489,22	254,23	789,22	00DA	seedling	1997	0	0,00
56082	OUT	ESQ	R	R	12	ESQR12	50,95	486,8	250,95	786,80	00DA	seedling	1997	0	0,00
