MICROHAB	POINT	NAME	TREE	x	y
PRUNUS	1	Prunus_356	356	139.237	288.189
PRUNUS	2	Prunus_357	357	134.525	287.273
PRUNUS	3	Prunus_358	358	197.220	326.454
PRUNUS	4	Prunus_359	359	213.967	371.855
PRUNUS	5	Prunus_360	360	201.386	379.388
PRUNUS	6	Prunus_361	361	227.424	389.701
PRUNUS	7	Prunus_362	362	219.176	398.654
PRUNUS	8	Prunus_363	363	232.663	413.910
PRUNUS	9	Prunus_364	364	225.969	433.599
PRUNUS	10	Prunus_365	365	229.874	429.396
PRUNUS	11	Prunus_366	366	229.334	427.058
PRUNUS	12	Prunus_367	367	221.244	434.128
PRUNUS	13	Prunus_368	368	214.059	433.763
PRUNUS	14	Prunus_369	369	214.341	436.448
PRUNUS	15	Prunus_370	370	219.262	437.053
PRUNUS	16	Prunus_371	371	228.278	445.477
PRUNUS	17	Prunus_372	372	215.083	443.510
PRUNUS	18	Prunus_373	373	197.578	438.779
PRUNUS	19	Prunus_374	374	178.863	515.513
PRUNUS	20	Prunus_375	375	254.937	479.690
PRUNUS	21	Prunus_376	376	256.077	483.419
PRUNUS	22	Prunus_377	377	260.475	486.122
PRUNUS	23	Prunus_378	378	264.430	487.118
PRUNUS	24	Prunus_379	379	256.983	486.384
PRUNUS	25	Prunus_380	380	252.050	455.280
PRUNUS	26	Prunus_381	381	241.099	478.017
PRUNUS	27	Prunus_382	382	252.637	461.416
PRUNUS	28	Prunus_383	383	234.188	489.769
PRUNUS	29	Prunus_384	384	236.849	482.034
PRUNUS	30	Prunus_385	385	212.100	477.500
PRUNUS	31	Prunus_386	386	218.143	475.691
PRUNUS	32	Prunus_387	387	206.004	479.123
PRUNUS	33	Prunus_388	388	211.337	486.994
PRUNUS	34	Prunus_389	389	194.317	491.898
PRUNUS	35	Prunus_390	390	186.014	505.549
PRUNUS	36	Prunus_391	391	172.465	316.245
PRUNUS	37	Prunus_392	392	152.562	287.821
PRUNUS	38	Prunus_393	393	164.260	296.915
PRUNUS	39	Prunus_394	394	163.478	295.074
PRUNUS	40	Prunus_395	395	173.024	285.528
PRUNUS	41	Prunus_396	396	231.718	437.386
PRUNUS	42	Prunus_397	397	187.710	483.040
PRUNUS	43	Prunus_398	398	148.790	475.800
PRUNUS	44	Prunus_399	399	179.130	461.000
PRUNUS	45	Prunus_400	400	175.000	459.230
PRUNUS	46	Prunus_430	430	130.445	145.165
PRUNUS	47	Prunus_871	871	175.974	291.073
PRUNUS	48	Prunus_872	872	169.022	441.183
PRUNUS	49	Prunus_873	873	135.055	525.192
PRUNUS	50	Prunus_874	874	212.631	543.644
PRUNUS	51	Prunus_875	875	217.609	534.752
PRUNUS	52	Prunus_966	966	0.107	121.843
PRUNUS	53	Prunus_967	967	14.758	164.392
PRUNUS	54	Prunus_968	968	39.266	202.132
PRUNUS	55	Prunus_969	969	324.894	914.554
PRUNUS	56	Prunus_970	970	329.576	921.344
PRUNUS	57	Prunus_971	971	359.745	1023.850
PRUNUS	58	Prunus_972	972	370.263	1021.457
PRUNUS	59	Prunus_973	973	370.336	1021.505
PRUNUS	60	Prunus_974	974	379.836	1037.959
PRUNUS	61	Prunus_975	975	374.076	1015.586
PRUNUS	62	Prunus_976	976	374.620	1014.747
PRUNUS	63	Prunus_977	977	384.341	986.068
PRUNUS	64	Prunus_978	978	394.745	976.700
PRUNUS	65	Prunus_979	979	378.556	979.174
PRUNUS	66	Prunus_980	980	384.732	985.148
PRUNUS	67	Prunus_981	981	327.402	997.545
PRUNUS	68	Prunus_982	982	321.587	981.570
PRUNUS	69	Prunus_983	983	313.185	978.345
PRUNUS	70	Prunus_984	984	309.804	971.094
PRUNUS	71	Prunus_985	985	285.804	929.525
PRUNUS	72	Prunus_1065	1065	273.542	296.808
PRUNUS	73	Prunus_1066	1066	302.724	300.227
PRUNUS	74	Prunus_1067	1067	300.855	289.421
PRUNUS	75	Prunus_1068	1068	250.287	214.172
PRUNUS	76	Prunus_1069	1069	237.094	132.884
PRUNUS	77	Prunus_1070	1070	208.694	71.980
PRUNUS	78	Prunus_1072	1072	187.147	131.181
PRUNUS	79	Prunus_1073	1073	132.091	147.431
PRUNUS	80	Prunus_1074	1074	128.324	142.637
PRUNUS	81	Prunus_1075	1075	126.032	129.638
PRUNUS	82	Prunus_1076	1076	117.265	128.871
PRUNUS	83	Prunus_1077	1077	131.938	88.558
PRUNUS	84	Prunus_1078	1078	127.020	70.206
PRUNUS	85	Prunus_1079	1079	137.723	95.453
PRUNUS	86	Prunus_1080	1080	74.794	84.357
