POB	SEX	TREE	x	y
NC	H	357	134.53	287.27
NC	H	359	213.97	371.86
NC	?	360	201.39	379.39
NC	H	362	219.18	398.65
NC	F	364	225.97	433.60
NC	F	365	229.87	429.40
NC	F	372	215.08	443.51
NC	H	373	197.58	438.78
NC	?	375	254.94	479.69
NC	H	377	260.48	486.12
NC	H	378	264.43	487.12
NC	?	379	256.98	486.38
NC	F	380	241.21	478.51
NC	F	385	241.21	529.93
NC	?	396	236.42	437.39
NC	H	397	231.72	540.16
NC	H	398	204.19	540.01
NC	H	399	161.99	531.96
NC	H	400	191.90	531.08
NC	F	1820	187.89	208.82
NC	H	1821	206.38	213.75
NC	F	1822	187.88	263.99
NC	F	1823	307.64	142.70
NC	H	1824	142.75	146.52
NC	H	1825	131.67	176.81
NC	H	1826	244.84	252.80
NC	H	1827	269.97	271.87
NC	H	1828	281.69	295.01
NC	H	1829	295.27	296.97
NC	F	1830	286.75	378.54
NC	H	1831	304.22	376.52
NC	H	1832	309.28	382.07
NC	F	1833	305.04	381.00
NC	F	1834	311.48	387.85
NC	H	1835	330.24	427.14
NC	F	1836	346.26	432.96
NC	F	1837	347.66	461.26
NC	H	1838	330.58	471.92
NC	H	1839	349.45	464.99
NC	F	1841	333.61	292.20
NC	H	1842	163.32	314.51
NC	H	1843	170.25	324.17
NC	H	1844	185.48	401.40
NC	H	1845	225.28	405.28
NC	H	1846	226.25	444.19
NC	F	1847	249.65	447.34
NC	F	1848	253.63	471.00
NC	F	1849	255.56	469.57
NC	F	1850	255.10	480.59
NC	F	1921	262.18	300.00
NC	F	1922	187.40	356.79
NC	H	1923	209.00	362.73
NC	H	1924	211.06	386.55
NC	F	1925	228.12	389.88
NC	H	1926	229.20	412.53
NC	F	1927	230.15	444.66
NC	H	1928	247.00	449.32
NC	H	1929	248.52	482.77
NC	H	1930	262.93	502.89
NC	H	1931	250.59	243.96
NC	F	1932	237.80	233.83
NC	H	1933	239.76	236.33
NC	H	1934	246.26	225.69
NC	H	1935	248.26	246.46
NC	F	1936	263.81	468.92
NC	H	1937	322.73	453.79
NC	F	1938	311.74	449.73
NC	F	1939	330.16	458.11
NC	H	1940	332.67	474.24
NC	H	1941	341.09	279.48
NC	H	871	276.60	291.07
NC	H	873	175.97	525.19
NC	H	1065	135.06	296.81
NC	H	1066	273.54	300.23
NC	F	1067	302.72	289.42
NC	H	1069	300.86	132.88
NC	H	1070	237.09	71.98
NC	F	1072	208.69	131.18
NC	F	1073	187.15	147.43
NC	H	1074	132.09	142.64
