n	state	seedling	eppendorf	site	microhabitat	ref	xref	yref	distance	angle	anglerad	x	y
1	SDL	SDL1	PL_3_04	OUT	PRUNUS	1065	273,542	296,808	0	0	0	273,542	296,808
2	SDL	SDL2	PL_4_04	OUT	PRUNUS	1065	273,542	296,808	0	0	0	273,542	296,808
3	SDL	SDL3	PL_5_04	OUT	PRUNUS	1065	273,542	296,808	0	0	0	273,542	296,808
4	SDL	SDL4	PL_6_04	OUT	PRUNUS	1065	273,542	296,808	0	0	0	273,542	296,808
5	SDL	SDL5	SDL64	OUT	PRUNUS	1833	311,483	380,997	0	0	0	311,483	380,997
6	SDL	SDL6	SDL65	OUT	PRUNUS	1833	311,483	380,997	0	0	0	311,483	380,997
7	SDL	SDL7	SDL66	OUT	PRUNUS	1833	311,483	380,997	0	0	0	311,483	380,997
8	SDL	SDL8	SDL67	OUT	PRUNUS	1833	311,483	380,997	0	0	0	311,483	380,997
9	SDL	SDL9	SDL68	OUT	PRUNUS	1938	330,162	449,734	0	0	0	330,162	449,734
10	SDL	SDL10	SDL69	OUT	PRUNUS	1938	330,162	449,734	0	0	0	330,162	449,734
11	SDL	SDL11	SDL70	OUT	PRUNUS	1938	330,162	449,734	0	0	0	330,162	449,734
12	SDL	SDL12	SDL71	OUT	PRUNUS	1938	330,162	449,734	0	0	0	330,162	449,734
13	SDL	SDL13	SDL72	OUT	PRUNUS	1936	322,73	468,923	0	0	0	322,73	468,923
14	SDL	SDL14	SDL73	OUT	PRUNUS	1936	322,73	468,923	0	0	0	322,73	468,923
15	SDL	SDL15	SDL74	OUT	PRUNUS	1936	322,73	468,923	0	0	0	322,73	468,923
16	SDL	SDL16	SDL75	OUT	PRUNUS	1936	322,73	468,923	0	0	0	322,73	468,923
17	SDL	SDL17	SDL76	OUT	PRUNUS	1851	391,307	520,073	0	0	0	391,307	520,073
18	SDL	SDL18	SDL77	OUT	PRUNUS	1851	391,307	520,073	0	0	0	391,307	520,073
19	SDL	SDL19	SDL78	OUT	PRUNUS	1851	391,307	520,073	0	0	0	391,307	520,073
20	SDL	SDL20	SDL79	OUT	PRUNUS	1851	391,307	520,073	0	0	0	391,307	520,073
21	SDL	SDL21	SDL44	OUT	A	1095	317,394	360,297	4,4	315	5,497787144	314,2827302	363,4082698
22	SDL	SDL22	SDL45	OUT	A	1095	317,394	360,297	4,4	315	5,497787144	314,2827302	363,4082698
23	SDL	SDL23	SDL46	OUT	A	PINO 02 garrafa	281,2585581	322,0707755	36,8	40	0,698131701	304,9131421	350,261211
24	SDL	SDL24	SDL47	OUT	A	PINO 02 garrafa	281,2585581	322,0707755	36,9	40	0,698131701	304,9774209	350,3378155
25	SDL	SDL25	SDL48	OUT	A	PRUNUS_1101	324,825	388,804	9,5	180	3,141592654	324,825	379,304
26	SDL	SDL26	SDL49	OUT	A	PRUNUS_1101	324,825	388,804	9,5	180	3,141592654	324,825	379,304
27	SDL	SDL27	SDL50	OUT	A	SDL 46-SDL 47	304,9131421	350,261211	23	15	0,261799388	310,8659801	372,477505
28	SDL	SDL28	SDL51	OUT	A	SDL 46-SDL 47	304,9131421	350,261211	23	15	0,261799388	310,8659801	372,477505
29	SDL	SDL29	SDL52	OUT	A	SDL 50-SDL 51	310,8659801	372,477505	75,3	20	0,34906585	336,6200969	443,2363594
30	SDL	SDL30	SDL53	OUT	A	SDL 50-SDL 51	310,8659801	372,477505	75,3	20	0,34906585	336,6200969	443,2363594
31	SDL	SDL31	SDL54	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	7,1	95	1,658062789	343,6930793	442,6175536
32	SDL	SDL32	SDL55	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	11,2	95	1,658062789	347,7774776	442,260215
33	SDL	SDL33	SDL56	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	23,1	320	5,585053606	321,7717032	460,931986
34	SDL	SDL34	SDL57	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	23,1	320	5,585053606	321,7717032	460,931986
35	SDL	SDL35	SDL58	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	32,3	320	5,585053606	315,8580571	467,9795949
36	SDL	SDL36	SDL59	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	32,3	320	5,585053606	315,8580571	467,9795949
37	SDL	SDL37	SDL60	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	27,8	310	5,410520681	315,3240614	461,1058549
38	SDL	SDL38	SDL61	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	27,8	310	5,410520681	315,3240614	461,1058549
39	SDL	SDL39	SDL62	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	26	310	5,410520681	316,7029414	459,9488372
40	SDL	SDL40	SDL63	OUT	A	SDL 52-SDL 53	336,6200969	443,2363594	26	310	5,410520681	316,7029414	459,9488372
41	SDL	SDL41	SDL24	OUT	PINO	PINO 01	274,9311854	304,686462	8,8	260	4,537856055	266,2648772	303,1583581
42	SDL	SDL42	SDL25	OUT	PINO	PINO 01	274,9311854	304,686462	8,5	260	4,537856055	266,5603195	303,2104525
43	SDL	SDL43	SDL26	OUT	PINO	PINO 01	274,9311854	304,686462	6,5	45	0,785398163	279,5273795	309,2826561
44	SDL	SDL44	SDL27	OUT	PINO	PINO 01	274,9311854	304,686462	5,4	0	0	274,9311854	310,086462
45	SDL	SDL45	SDL28	OUT	PINO	PINO 01	274,9311854	304,686462	7,2	345	6,021385919	273,0676883	311,641128
46	SDL	SDL46	SDL29	OUT	PINO	PINO 01	274,9311854	304,686462	9,6	330	5,759586532	270,1311854	313,0003059
47	SDL	SDL47	SDL30	OUT	PINO	PINO 01	274,9311854	304,686462	6,1	30	0,523598776	277,9811854	309,969217
48	SDL	SDL48	SDL31	OUT	PINO	PINO 01	274,9311854	304,686462	9	10	0,174532925	276,494019	313,5497318
49	SDL	SDL49	SDL32	OUT	PINO	PINO 01	274,9311854	304,686462	9,4	5	0,087266463	275,7504494	314,0506922
50	SDL	SDL50	SDL33	OUT	PINO	PINO 01	274,9311854	304,686462	14,3	340	5,934119457	270,0402974	318,1240665
51	SDL	SDL51	SDL34	OUT	PINO	PINO 01	274,9311854	304,686462	14,3	355	6,195918845	273,6848583	318,9320462
52	SDL	SDL52	SDL35	OUT	PINO	PINO 01	274,9311854	304,686462	14,8	355	6,195918845	273,6412804	319,4301436
53	SDL	SDL53	SDL36	OUT	PINO	PINO 01	274,9311854	304,686462	16,6	0	0	274,9311854	321,286462
54	SDL	SDL54	SDL37	OUT	PINO	PINO 01	274,9311854	304,686462	17,2	0	0	274,9311854	321,886462
55	SDL	SDL55	SDL38	OUT	PINO	PINO 01	274,9311854	304,686462	14,8	342	5,969026042	270,3577339	318,7620985
