ord	site	site2	mhab	mhab2	trap	name	ox	oy	x	y	spp.pral	pl.agra97	seed.agra9798	pl.agra98	seed.agra9899	pl.agra99	pl.aita97	seed.aita9798	pl.aita98	seed.aita9899	pl.aita99	pl.aova97	seed.aova9798	pl.aova98	seed.aova9899	pl.aova99	pl.bvul97	seed.bvul9798	pl.bvul98	seed.bvul9899	pl.bvul99	pl.cgra97	seed.cgra9798	pl.cgra98	seed.cgra9899	pl.cgra99	pl.cmon97	seed.cmon9798	pl.cmon98	seed.cmon9899	pl.cmon99	pl.dlau97	seed.dlau9798	pl.dlau98	seed.dlau9899	pl.dlau99	pl.hhel97	seed.hhel9798	pl.hhel98	seed.hhel9899	pl.hhel99	pl.jcom97	seed.jcom9798	pl.jcom98	seed.jcom9899	pl.jcom99	pl.jpho97	seed.jpho9798	pl.jpho98	seed.jpho9899	pl.jpho99	pl.jsab97	seed.jsab9798	pl.jsab98	seed.jsab9899	pl.jsab99	pl.joxy97	seed.joxy9798	pl.joxy98	seed.joxy9899	pl.joxy99	pl.larb97	seed.larb9798	pl.larb98	seed.larb9899	pl.larb99	pl.lspl97	seed.lspl9798	pl.lspl98	seed.lspl9899	pl.lspl99	pl.pbro97	seed.pbro9798	pl.pbro98	seed.pbro9899	pl.pbro99	pl.pmah97	seed.pmah9798	pl.pmah98	seed.pmah9899	pl.pmah99	seed.pmah99	pl.pnig97	seed.pnig9798	pl.pnig98	seed.pnig9899	pl.pnig99	pl.qspp97	seed.qspp9798	pl.qspp98	seed.qspp9899	pl.qspp99	pl.rosa97	seed.rosa9798	pl.rosa98	seed.rosa9899	pl.rosa99	pl.rhamnus97	seed.rhamnus9798	pl.98rhamnus	seed.rhamnus9899	pl.rhamnus99	pl.sari97	seed.sari9798	pl.sari98	seed.sari9899	pl.sari99	pl.tbac97	seed.tbac9798	pl.tbac98	seed.tbac9899	pl.tbac99	seed.tbac99	pl.podo97	seed.podo9798	pl.podo98	seed.podo9899	pl.99podo	pl.rper97	seed.rper9798	pl.rper98	seed.rper9899	pl.rper99
121	OUT	DRCHA	A	A	1	DRCHAA1	-142,39	-174,11	57,61	125,89	Larb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	OUT	DRCHA	A	A	2	DRCHAA2	-87,78	-139,08	112,22	160,92	Rspp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
123	OUT	DRCHA	A	A	3	DRCHAA3	-110,72	-192,83	89,28	107,17	Pmah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	14	4	0	55	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	OUT	DRCHA	A	A	4	DRCHAA4	-129,44	-146,44	70,56	153,56	Larb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	OUT	DRCHA	A	A	5	DRCHAA5	-123,65	-141,93	76,35	158,07	Larb	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
126	OUT	DRCHA	A	A	6	DRCHAA6	-127,37	-146,81	72,63	153,19	Cmon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	OUT	DRCHA	A	A	7	DRCHAA7	-113,46	-134,42	86,54	165,58	Pmah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	44	0	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	OUT	DRCHA	A	A	8	DRCHAA8	-103,28	-137,09	96,72	162,91	Pmah	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	29	9	11	3	00	0	3	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	00	0	0	0	0	0	0	0	0	0	0
129	OUT	DRCHA	A	A	9	DRCHAA9	-109,77	-127,19	90,23	172,81	Rspp	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	21	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	OUT	DRCHA	A	A	10	DRCHAA10	-130,96	-140,55	69,04	159,45	Cmon	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	1	0	00	0	4	0	10	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	00	0	0	0	0	0	00	0	0	0	0	00	0
