SITE	MHAB	POINT	LABEL	OX	OY	x	y	AREA	SITE2	MICRO	MICROCAMPO	sdl97	sd9798	sdl98	sd9899	sdl99	sd9900	sd	sdl
DRCHA	A	1	DRCHAA1	-142.39	-174.11	57.61	125.89	OUT	DRCHA	A	A	0	0	0	0	0	0	0	0
DRCHA	A	2	DRCHAA2	-87.78	-139.08	112.22	160.92	OUT	DRCHA	A	A	0	0	0	0	0	0	0	0
DRCHA	A	3	DRCHAA3	-110.72	-192.83	89.28	107.17	OUT	DRCHA	A	A	1	13	14	4	0	51	68	15
DRCHA	A	4	DRCHAA4	-129.44	-146.44	70.56	153.56	OUT	DRCHA	A	A	0	0	0	0	0	0	0	0
DRCHA	A	5	DRCHAA5	-123.65	-141.93	76.35	158.07	OUT	DRCHA	A	A	0	9	0	6	0	22	37	0
DRCHA	A	6	DRCHAA6	-127.37	-146.81	72.63	153.19	OUT	DRCHA	A	A	0	0	0	0	0	2	2	0
DRCHA	A	7	DRCHAA7	-113.46	-134.42	86.54	165.58	OUT	DRCHA	A	A	0	44	0	6	1	0	50	1
DRCHA	A	8	DRCHAA8	-103.28	-137.09	96.72	162.91	OUT	DRCHA	A	A	3	29	9	11	3	0	40	15
DRCHA	A	9	DRCHAA9	-109.77	-127.19	90.23	172.81	OUT	DRCHA	A	A	0	5	0	2	1	21	28	1
DRCHA	A	10	DRCHAA10	-130.96	-140.55	69.04	159.45	OUT	DRCHA	A	A	0	1	0	0	0	4	5	0
DRCHA	a	1	DRCHAa1	-129.19	-174.93	70.81	125.07	OUT	DRCHA	a	a	0	0	0	0	0	4	4	0
DRCHA	a	2	DRCHAa2	-113.79	-184.51	86.21	115.49	OUT	DRCHA	a	a	0	0	0	0	0	0	0	0
DRCHA	a	3	DRCHAa3	-116.93	-169.65	83.07	130.35	OUT	DRCHA	a	a	0	0	0	0	0	0	0	0
DRCHA	a	4	DRCHAa4	-98.33	-169.65	101.67	130.35	OUT	DRCHA	a	a	0	0	0	0	0	0	0	0
DRCHA	a	5	DRCHAa5	-105.33	-141.95	94.67	158.05	OUT	DRCHA	a	a	0	0	0	0	0	0	0	0
DRCHA	a	6	DRCHAa6	-138.93	-135.95	61.07	164.05	OUT	DRCHA	a	a	0	0	0	0	0	0	0	0
DRCHA	a	7	DRCHAa7	-159.23	-128.56	40.77	171.44	OUT	DRCHA	a	a	0	0	0	0	0	0	0	0
DRCHA	a	8	DRCHAa8	-71.94	-89.94	128.06	210.06	OUT	DRCHA	a	a	0	0	0	0	0	3	3	0
DRCHA	a	9	DRCHAa9	-137.82	-163.28	62.18	136.72	OUT	DRCHA	a	a	0	0	0	0	0	0	0	0
DRCHA	N	1	DRCHAN1	-77.82	-208.17	122.18	91.83	OUT	DRCHA	N	N	0	0	0	0	0	0	0	0
DRCHA	N	2	DRCHAN2	-68.86	-109.48	131.14	190.52	OUT	DRCHA	N	N	0	0	0	0	0	0	0	0
DRCHA	N	3	DRCHAN3	-92.26	-85.91	107.74	214.09	OUT	DRCHA	N	N	0	0	0	0	0	5	5	0
DRCHA	N	4	DRCHAN4	-150.56	-104.00	49.44	196.00	OUT	DRCHA	N	N	0	0	0	0	0	0	0	0
DRCHA	N	5	DRCHAN5	-158.41	-124.70	41.59	175.30	OUT	DRCHA	N	N	0	0	0	0	0	0	0	0
DRCHA	N	6	DRCHAN6	-173.30	-138.96	26.70	161.04	OUT	DRCHA	N	N	0	0	0	0	0	0	0	0
DRCHA	N	7	DRCHAN7	-160.59	-125.85	39.41	174.15	OUT	DRCHA	N	N	0	0	0	0	0	0	0	0
DRCHA	N	8	DRCHAN8	-161.34	-137.91	38.66	162.09	OUT	DRCHA	N	N	0	1	0	0	0	1	2	0
DRCHA	N	9	DRCHAN9	-95.31	-84.56	104.69	215.44	OUT	DRCHA	N	N	0	1	0	1	0	4	6	0
DRCHA	N	10	DRCHAN10	-69.15	-86.06	130.85	213.94	OUT	DRCHA	N	N	0	0	0	0	0	4	4	0
DRCHA	P	1	DRCHAP1	-83.58	-131.81	116.42	168.19	OUT	DRCHA	P	P	0	4	0	0	0	13	17	0
DRCHA	P	2	DRCHAP2	-71.94	-117.94	128.06	182.06	OUT	DRCHA	P	P	2	3	2	0	0	0	3	4
DRCHA	P	3	DRCHAP3	-69.42	-103.66	130.58	196.34	OUT	DRCHA	P	P	0	6	2	2	1	10	18	3
DRCHA	P	4	DRCHAP4	-96.97	-103.49	103.03	196.51	OUT	DRCHA	P	P	0	0	3	0	0	3	3	3
