************** USER-DEFINED SETTINGS **************


number of iterations is 3000000, of which 999999 are burnin, and the sampling frequency is 2000
deltap (allele freq) is 15
deltam (mig rate) is 15
deltaF (inbreeding) is 15
initial value of idum is 65332

Loci are:
Fam001	FamMg3	Fam018	Tet403	TetE02	TetMC4	TetMC5	Hex406	Hex402	HexA05	HexH03	

Individual     sampled pop     allele11, allele12 etc.
776	CL	129, 129      192, 194      244, 246      102, 102      173, 173      221, 221      231, 231      97, 101      132, 136      198, 198      257, 257      
777	CL	121, 121      176, 204      244, 246      110, 112      145, 167      221, 221      231, 235      97, 97      138, 144      194, 198      255, 259      
780	CL	117, 119      176, 206      244, 244      116, 142      161, 183      221, 221      235, 235      93, 97      132, 146      198, 200      257, 291      
877	CL	119, 127      194, 206      244, 246      104, 110      183, 187      228, 228      231, 235      93, 97      132, 146      194, 198      257, 257      
879	CL	119, 127      176, 206      246, 246      106, 110      183, 183      228, 228      231, 235      97, 97      142, 148      198, 198      283, 295      
880	CL	119, 119      176, 206      244, 246      106, 110      183, 183      228, 228      235, 235      93, 97      132, 132      194, 198      251, 295      
883	CL	117, 119      176, 206      244, 246      112, 142      183, 183      221, 228      231, 235      93, 95      132, 134      194, 198      257, 269      
884	CL	119, 127      176, 206      244, 244      106, 142      183, 183      221, 221      235, 235      93, 97      132, 136      198, 198      257, 283      
885	CL	117, 119      206, 206      244, 246      110, 124      161, 173      226, 228      235, 235      93, 93      132, 132      194, 194      257, 263      
887	CL	109, 119      176, 206      246, 246      104, 142      161, 187      226, 228      235, 235      95, 97      132, 132      194, 198      257, 263      
889	CL	119, 119      176, 176      244, 246      106, 106      183, 183      221, 228      235, 235      97, 97      132, 132      198, 198      257, 295      
890	CL	119, 121      176, 206      244, 246      106, 142      173, 183      228, 228      231, 235      93, 97      132, 144      196, 198      251, 263      
891	CL	119, 119      176, 206      244, 244      106, 110      161, 183      221, 228      231, 235      93, 97      132, 132      194, 198      251, 257      
892	CL	119, 121      178, 206      244, 246      110, 142      161, 167      221, 221      231, 231      93, 95      132, 136      194, 198      251, 273      
CL3	CL	119, 119      176, 190      244, 244      104, 106      161, 173      226, 226      231, 235      93, 95      132, 148      194, 200      259, 259      
CL6	CL	113, 113      176, 176      244, 246      104, 124      173, 173      226, 228      231, 235      97, 101      134, 146      196, 198      271, 285      
CL778	CL	119, 125      176, 176      246, 246      124, 124      185, 185      221, 221      231, 231      93, 93      134, 148      194, 198      257, 257      
CL876	CL	119, 127      176, 176      244, 244      106, 106      183, 183      221, 221      235, 235      97, 101      136, 136      198, 198      257, 257      
CL878	CL	119, 127      176, 176      244, 246      106, 106      183, 183      221, 228      235, 235      97, 97      132, 132      198, 198      295, 295      
CL886	CL	119, 127      178, 206      244, 244      106, 142      167, 183      221, 221      231, 235      93, 101      118, 146      198, 198      257, 283      
CL888	CL	119, 127      176, 206      244, 246      106, 142      161, 183      221, 221      235, 235      93, 101      118, 136      198, 198      257, 257      
NM1	CL	119, 119      194, 194      246, 246      104, 104      153, 153      221, 221      235, 235      93, 97      136, 136      198, 198      269, 283      
NM2	CL	117, 119      206, 206      244, 246      106, 142      161, 185      221, 226      231, 235      93, 95      118, 134      194, 198      257, 269      
NM3	CL	127, 127      176, 178      244, 244      106, 106      183, 183      221, 221      235, 235      97, 97      136, 136      198, 198      257, 283      

701	CM	109, 119      178, 178      244, 246      102, 102      173, 173      222, 226      231, 231      97, 97      132, 132      198, 198      283, 283      
702	CM	121, 127      178, 194      244, 244      102, 102      161, 175      221, 226      231, 231      97, 97      132, 132      198, 198      259, 271      
703	CM	121, 127      178, 194      244, 244      102, 102      175, 175      226, 226      231, 231      97, 97      132, 132      198, 198      259, 259      
704	CM	109, 109      176, 178      244, 246      102, 102      173, 175      226, 226      231, 231      97, 97      132, 132      198, 198      281, 281      
705	CM	109, 119      176, 178      244, 246      102, 104      173, 175      222, 226      231, 231      97, 97      132, 132      198, 198      281, 283      
706	CM	109, 119      176, 178      246, 246      102, 102      173, 173      222, 226      231, 231      97, 97      132, 132      198, 198      281, 283      
707	CM	109, 109      178, 178      244, 244      102, 104      173, 175      222, 226      231, 231      97, 97      132, 132      198, 198      281, 283      
708	CM	109, 109      176, 178      244, 246      102, 104      175, 175      222, 226      231, 231      97, 97      132, 132      198, 198      281, 283      
709	CM	121, 121      178, 178      244, 244      102, 102      161, 175      226, 226      231, 231      97, 97      132, 146      198, 198      259, 271      
711	CM	109, 119      178, 192      246, 246      102, 102      161, 177      221, 221      231, 231      97, 97      132, 144      198, 198      271, 273      
712	CM	117, 119      178, 194      246, 246      102, 106      143, 185      221, 226      231, 231      93, 93      132, 144      198, 198      269, 271      
715	CM	109, 119      178, 178      244, 246      104, 104      175, 175      222, 226      231, 231      97, 97      132, 132      198, 198      281, 283      
CM710	CM	109, 127      178, 178      244, 246      102, 106      177, 185      221, 226      231, 231      93, 95      132, 144      194, 198      257, 273      
CM713	CM	117, 119      178, 204      244, 246      102, 106      161, 167      221, 221      231, 231      93, 97      132, 144      198, 198      251, 273      
